"","condo_name","district","age"
"1","A TREASURE TROVE","19",3
"2","AA CENTRE","09",NA
"3","AALTO","15",8
"4","ABELIA","10",NA
"5","ACACIA LODGE","23",NA
"6","ACCORD APARTMENTS","14",NA
"7","ADAM GREEN","11",5
"8","ADAM PARK CONDO","11",14
"9","ADAM PLACE","11",26
"10","ADANA @ THOMSON","20",0
"11","ADELPHI PARK HOUSING ESTATE","20",NA
"12","ADRIA","11",5
"13","ADVANCE APARTMENTS","14",NA
"14","AFFLUENCE COURT","19",NA
"15","AH SOO GARDENS","19",NA
"16","AIRSTREAM","12",5
"17","AIRVIEW TOWERS","09",NA
"18","ALANA","28",1
"19","ALBA","09",3
"20","ALEGRIA BOUTIQUE APARTMENTS","11",13
"21","ALESSANDREA","03",14
"22","ALEX RESIDENCES","03",-1
"23","ALEXIS","03",6
"24","ALIAS VILLAS","10",1
"25","ALLAN VILLE","01",NA
"26","ALLSWORTH PARK","10",33
"27","ALOCASSIA APARTMENTS","10",NA
"28","ALPHA APARTMENTS","15",13
"29","ALTEZ","02",4
"30","ALWYN PARK","19",26
"31","AMANINDA","11",13
"32","AMARANDA GARDEN","19",14
"33","AMARYLLIS VILLE","11",14
"34","AMBER GLADES","15",28
"35","AMBER PARK","15",32
"36","AMBER POINT","15",28
"37","AMBER RESIDENCES","15",7
"38","AMBER SKYE","15",1
"39","AMPAS APARTMENTS","12",28
"40","AMSTERDAM APARTMENT","10",NA
"41","ANDERSON GREEN","10",18
"42","ANGSANA PARK","21",NA
"43","APARTMENT 8","13",NA
"44","APEX HARMONY LODGE","18",NA
"45","APLETON VIEW","11",13
"46","APOLLO GARDEN","16",NA
"47","AQUARINE GARDENS","16",14
"48","AQUARIUS BY THE PARK","16",16
"49","AQUENE @ TELOK KURAU","15",10
"50","ARC AT TAMPINES","18",3
"51","ARCHIPELAGO","16",2
"52","ARDISIA GARDENS","19",21
"53","ARDMORE 3","10",3
"54","ARDMORE II","10",8
"55","ARDMORE PARK","10",17
"56","ARDMORE RESIDENCE","10",5
"57","AROOZOO PARK","19",NA
"58","ARTHUR 118","15",13
"59","ARTHUR MANSIONS","15",25
"60","ARWAA MANSION","10",NA
"61","ASCENT @ 456","12",1
"62","ASCENTIA SKY","03",5
"63","ASCOTT SINGAPORE","01",NA
"64","ASHLEY GREEN","10",22
"65","ASIA GARDENS","02",33
"66","ASIMONT @ BARKER","11",32
"67","ASPEN HEIGHTS","09",19
"68","ASPEN LINQ","09",4
"69","ASPEN LOFT","15",NA
"70","ASTON GREEN","19",5
"71","ASTON LODGE","14",21
"72","ASTON MANSIONS","14",19
"73","ASTON RESIDENCE","17",7
"74","ASTOR","14",11
"75","ASTOR GREEN","21",23
"76","ASTORIA APARTMENTS","09",35
"77","ASTORIA PARK","14",20
"78","ASTRID MEADOWS","10",28
"79","ASTRIDVILLE","10",33
"80","ATELIER VILLAS","26",10
"81","ATHENA VILLE","14",NA
"82","ATLAND HOUSE","10",NA
"83","ATRIUM RESIDENCES","14",10
"84","ATTITUDE @ KIM YAM","09",7
"85","AU-JIANG APARTMENT","13",NA
"86","AURA 83","15",2
"87","AURALIS","15",5
"88","AUSTRAL VIEW","15",NA
"89","AUSTVILLE RESIDENCES","19",4
"90","AVA TOWERS","12",25
"91","AVALON","10",18
"92","AVENUE VILLA","10",21
"93","AVILA GARDENS","17",23
"94","AVILA TERRACE","17",22
"95","AVON PARK","13",27
"96","AXIS @ SIGLAP","15",9
"97","AZALEA PARK","17",22
"98","BAGNALL COURT","16",27
"99","BALCON EAST","16",6
"100","BALESTIER 288","12",14
"101","BALESTIER CENTRE","12",NA
"102","BALESTIER COURT","12",NA
"103","BALESTIER PLAZA","12",33
"104","BALESTIER POINT","12",30
"105","BALESTIER REGENCY","12",28
"106","BALESTIER TOWERS","12",27
"107","BALLOTA PARK","17",18
"108","BALMORAL 8","10",15
"109","BALMORAL CONDO","10",26
"110","BALMORAL CREST","10",15
"111","BALMORAL GARDENS","10",37
"112","BALMORAL GATE","10",24
"113","BALMORAL GROVE","10",NA
"114","BALMORAL HEIGHTS","10",13
"115","BALMORAL HILLS","10",11
"116","BALMORAL LODGE","10",34
"117","BALMORAL PLACE","10",18
"118","BALMORAL PLAZA","10",NA
"119","BALMORAL POINT","10",41
"120","BALMORAL RESIDENCES","10",15
"121","BALMORAL TOWER","10",38
"122","BALMY COURT","14",20
"123","BAMBOO GROVE PARK","23",NA
"124","BAN GUAN PARK","10",NA
"125","BANYAN PARK","05",20
"126","BANYAN RESORT CONDO","05",23
"127","BANYAN VILLAS","26",13
"128","BAODE BUILDING","14",NA
"129","BARKER 9","11",4
"130","BARKER TERRACES","11",10
"131","BARKER VILLE","11",8
"132","BAROSSA GARDENS","05",NA
"133","BARTLEY COURT","19",NA
"134","BARTLEY GROVE APARTMENTS","19",NA
"135","BARTLEY RESIDENCES","19",3
"136","BARTLEY RIDGE","19",0
"137","BARTLEY VILLAS","19",22
"138","BASSEIN COURT","11",25
"139","BAYOU RESIDENCE","19",10
"140","BAYSHORE PARK","16",32
"141","BAYVILLE CONDO","05",22
"142","BAYWATER","16",12
"143","BEACON HEIGHTS","12",6
"144","BEAU VISTA","14",10
"145","BEAUFORT ON NASSIM","10",10
"146","BEAUTY GARDEN","19",NA
"147","BEAUTY WORLD CENTRE","21",34
"148","BEAUTY WORLD PLAZA","21",NA
"149","BEAVERTON COURT","10",34
"150","BEDOK COURT","16",33
"151","BEDOK GROVE","16",NA
"152","BEDOK PARK","16",NA
"153","BEDOK RESIDENCES","16",3
"154","BEDOK RIA","16",25
"155","BEDOK SHOPPING COMPLEX","16",NA
"156","BEDOKVILLE","16",NA
"157","BEECHWOOD TERRACE","25",20
"158","BELGRAVIA PARK","28",23
"159","BELGRAVIA VILLAS","20",0
"160","BELLA CASITA","15",5
"161","BELLA VISTA","13",9
"162","BELLAVILLE","13",7
"163","BELLE VUE RESIDENCES","09",8
"164","BELLERIVE","10",6
"165","BELLEWATERS","19",1
"166","BELLEWOODS","25",1
"167","BELLEZZA @ KATONG","15",10
"168","BELMOND GREEN","10",14
"169","BELMONDO VIEW","09",15
"170","BELMONT HOUSE","10",NA
"171","BELYSA","18",4
"172","BENA PARK","17",NA
"173","BENCOOLEN HOUSE","07",NA
"174","BENDIGO GARDENS","15",NA
"175","BERKELEY RESIDENCES","15",3
"176","BETA GROVE","15",NA
"177","BEVERLY HILL","10",35
"178","BEVERLY PARK","19",NA
"179","BIJOU","05",0
"180","BIN TONG PARK","10",NA
"181","BINJAI CREST","21",14
"182","BIRCHWOOD MANSIONS","12",27
"183","BIRMINGHAM MANSIONS","11",20
"184","BISHAN 8","20",18
"185","BISHAN LOFT","20",14
"186","BISHAN PARK CONDO","20",24
"187","BISHAN POINT","20",13
"188","BISHOPSGATE RESIDENCES","10",6
"189","BLEU @ EAST COAST","16",8
"190","BLISS @ KOVAN","19",4
"191","BLISS LOFT","12",4
"192","BLISS REGALIA","08",9
"193","BLISS RESIDENCES","14",10
"194","BLISS VILLE","14",8
"195","BLISSFUL VIEW","10",20
"196","BLOSSOM MANSIONS","14",23
"197","BLOSSOM RESIDENCES","23",4
"198","BLOSSOM VIEW","14",20
"199","BLOSSOMS @ WOODLEIGH","13",11
"200","BLU CORAL","15",7
"201","BLUE HORIZON","05",13
"202","BLUWATERS","17",11
"203","BLUWATERS 2","17",8
"204","BLUWEL","14",NA
"205","BOATHOUSE RESIDENCES","19",3
"206","BOON COURT","15",41
"207","BOON LAY GARDENS","22",NA
"208","BOON TECK APARTMENTS","12",27
"209","BOON TECK LODGE","12",25
"210","BOON TECK TOWER","12",34
"211","BOON TECK VIEW","12",NA
"212","BOONVIEW","20",15
"213","BOTANIC GARDENS MANSION","10",NA
"214","BOTANIC GARDENS VIEW","10",48
"215","BOTANIKA","10",9
"216","BOTANIQUE AT BARTLEY","19",0
"217","BOTANNIA","05",9
"218","BOUGAINVILLA APARTMENTS","14",20
"219","BOULEVARD VUE","10",4
"220","BOURNEMOUTH EIGHT","15",21
"221","BOWMONT CENTRE","15",NA
"222","BRADDELL HEIGHTS ESTATE","19",NA
"223","BRADDELL PARK","13",34
"224","BRADDELL REGALIA","13",NA
"225","BRADDELL VIEW","20",37
"226","BREEZEWAY IN KATONG","15",NA
"227","BREEZY MANSIONS","19",NA
"228","BRENTWOOD VILLAS","09",13
