"","condo_name","district","age"
"229","BRIGHT BUILDING","12",39
"230","BRIGHTON CREST","19",15
"231","BRIGHTON VIEW","19",33
"232","BRISTOL LODGE","08",26
"233","BRIZAY PARK","10",NA
"234","BROOKS COLLECTION @ SPRINGSIDE","26",3
"235","BROOKVALE PARK","21",35
"236","BUCKLEY 18","11",9
"237","BUCKLEY CLASSIQUE","11",4
"238","BUCKLEY MEWS","11",NA
"239","BUCKLEY RESIDENCE","11",10
"240","BUKIT GARDEN ESTATE","10",NA
"241","BUKIT REGENCY","21",23
"242","BUKIT VIEW","21",19
"243","BUKIT VILLAS","25",9
"244","BULLION PARK","26",25
"245","BUONA LODGE","05",26
"246","BUONA VISTA GARDENS","05",29
"247","BURGUNDY HILL","21",19
"248","BURLINGTON SQUARE","07",20
"249","BUTTERWORTH 33","15",12
"250","BUTTERWORTH 8","15",14
"251","BUTTERWORTH VIEW","15",19
"252","CABANA","28",5
"253","CACTUS BLOOM","28",NA
"254","CACTUS GREEN","28",NA
"255","CADENCE LIGHT","15",11
"256","CAI GARDEN","14",NA
"257","CAIRNHILL CREST","09",13
"258","CAIRNHILL HEIGHTS","09",28
"259","CAIRNHILL MANSION","09",55
"260","CAIRNHILL NINE","09",2
"261","CAIRNHILL PLAZA","09",40
"262","CAIRNHILL RESIDENCES","09",8
"263","CAIRNHILL TOWERS","09",NA
"264","CALARASI","12",14
"265","CALDECOTT HILL ESTATE","11",NA
"266","CALIN MANSIONS","14",NA
"267","CALLIDORA VILLE","15",9
"268","CAMAY COURT","15",NA
"269","CAMBIO SUITES","19",2
"270","CAMBRIDGE VILLAGE","08",35
"271","CAMDEN PARK","11",29
"272","CAMELIA PARK","28",34
"273","CAMELLIA LODGE","14",20
"274","CAMELODGE","16",20
"275","CAMELOT","15",17
"276","CAMWOOD PARK","10",29
"277","CANARY PARK","16",26
"278","CANARY VILLE","15",NA
"279","CANBERLIN APARTMENTS","14",NA
"280","CANBERLIN LODGE","14",17
"281","CANBERRA RESIDENCES","27",5
"282","CANDEVILLE","15",NA
"283","CANNAVILLE","15",25
"284","CANNE LODGE","14",18
"285","CANNE VILLE","14",NA
"286","CANTIZ @ RAMBAI","15",8
"287","CAPE ROYALE","04",5
"288","CAPITOL PARK","11",NA
"289","CARABELLE","05",9
"290","CARDIFF RESIDENCE","19",3
"291","CARIBBEAN AT KEPPEL BAY","04",14
"292","CARISSA PARK","17",15
"293","CARLISLE COURT","08",NA
"294","CARLYX GREEN","08",9
"295","CARLYX RESIDENCE","08",12
"296","CARMI MANSIONS","14",NA
"297","CARPMAEL LODGE","15",NA
"298","CASA AERATA","14",4
"299","CASA AROMA","15",15
"300","CASA CAIRNHILL","09",27
"301","CASA CAMBIO","19",4
"302","CASA CONTENDERE","11",32
"303","CASA EMERALD","14",16
"304","CASA EMMA","10",NA
"305","CASA ESPANIA","19",26
"306","CASA ESPERANZA","21",26
"307","CASA FELIZ","15",NA
"308","CASA FIDELIO","15",27
"309","CASA FLORA","16",31
"310","CASA FORTUNA","12",6
"311","CASA IRRAWADDY","12",23
"312","CASA JERVOIS","09",28
"313","CASA MELWANI","11",NA
"314","CASA MERAH","16",9
"315","CASA MEYA","13",7
"316","CASA MEYFORT","15",26
"317","CASA NOVACREST","09",19
"318","CASA PASIR RIS","17",21
"319","CASA PERLA","11",NA
"320","CASA RIVIERA","19",19
"321","CASA ROSA CONDO","19",17
"322","CASA SARINA","14",20
"323","CASA SOPHIA","09",NA
"324","CASA UNO","10",NA
"325","CASABELLA","10",12
"326","CASABLANCA","25",12
"327","CASAFINA","16",18
"328","CASCADALE","16",24
"329","CASCATA","14",13
"330","CASERO @ DUNMAN","15",10
"331","CASHEW GARDENS","23",NA
"332","CASHEW HEIGHTS","23",26
"333","CASHEW PARK CONDO","23",35
"334","CASHEW VILLAS","23",12
"335","CASPIAN","22",6
"336","CASSIA EDGE","14",0
"337","CASSIA VIEW","14",17
"338","CASTLE GREEN","26",21
"339","CASTLE LOFT","15",22
"340","CASUARINA COVE","15",22
"341","CATHAY GARDENS","15",NA
"342","CAVAN SUITES","08",5
"343","CAVENAGH COURT","09",47
"344","CAVENAGH FORTUNA","09",NA
"345","CAVENAGH GARDENS","09",43
"346","CAVENAGH HOUSE","09",47
"347","CAVENAGH LODGE","09",22
"348","CAVENDISH PARK","21",22
"349","CELADON VIEW","17",19
"350","CELESTIA","15",8
"351","CENTENNIA SUITES","09",4
"352","CENTRA HEIGHTS","14",4
"353","CENTRA LOFT","14",4
"354","CENTRA RESIDENCE","14",1
"355","CENTRA STUDIOS","14",4
"356","CENTRA SUITES","14",5
"357","CENTRAL GREEN","03",23
"358","CENTRAL GROVE","14",17
"359","CENTRAL IMPERIAL","14",3
"360","CENTRAL MEADOWS","14",15
"361","CENTRAL PLACE","19",NA
"362","CENTRAL SQUARE APARTMENTS","03",19
"363","CENTRAL VIEW","19",13
"364","CENTREPOINT APARTMENTS","09",NA
"365","CENTRINA","15",5
"366","CENTRO MANSIONS","14",NA
"367","CENTRO RESIDENCES","20",4
"368","CENTURION 12","20",10
"369","CENTURION RESIDENCES","13",8
"370","CENTURY MANSIONS","23",20
"371","CENTURY WOODS","25",NA
"372","CERELIA VISTA","19",5
"373","CEYLON COURT","15",NA
"374","CEYLON CREST","15",12
"375","CEYLON POINT","15",4
"376","CEYLON RESIDENCE","15",6
"377","CHANCERY CORNER","11",NA
"378","CHANCERY COURT","11",37
"379","CHANCERY ESQUIRE","11",22
"380","CHANCERY GARDEN","11",NA
"381","CHANCERY GROVE","11",22
"382","CHANCERY HILL VILLAS","11",1
"383","CHANCERY LODGE","11",NA
"384","CHANCERY PARK","11",27
"385","CHANGI COMPLEX","16",NA
"386","CHANGI COURT","16",21
"387","CHANGI GARDEN","17",38
"388","CHANGI GREEN","16",17
"389","CHANGI GROVE","17",NA
"390","CHANGI HEIGHTS","17",16
"391","CHANGI RISE","18",14
"392","CHANS VILLE","15",NA
"393","CHANTILLY RISE","23",19
"394","CHAPEL COURT","15",21
"395","CHAPEL LODGE","15",21
"396","CHARIS LODGE","05",NA
"397","CHARISMA VIEW","21",15
"398","CHARLESTON","10",16
"399","CHARLTON 18","19",1
"400","CHARLTON 27","19",-1
"401","CHARLTON CORNER","19",NA
"402","CHARLTON COURT","19",NA
"403","CHARLTON PARK","19",NA
"404","CHARLTON RESIDENCES","19",4
"405","CHARLTON VILLAS","19",7
"406","CHARMING GARDENS","10",34
"407","CHATEAU ELIZA","09",26
"408","CHATEAU LA SALLE","15",8
"409","CHATEAU LE FAME","10",21
"410","CHATELET CONDO","10",25
"411","CHELSEA GARDENS","10",18
"412","CHELSEA GROVE","12",11
"413","CHELSEA LODGE","15",18
"414","CHELSEA VILLAGE","05",27
"415","CHEN FANG MANSIONS","14",NA
"416","CHEN JING JUE MANSIONS","19",NA
"417","CHENG SOON GARDEN","21",NA
"418","CHEPSTOW VILLE","19",8
"419","CHERRY GARDENS","19",14
"420","CHERRY LOFT","08",10
"421","CHERRYHILL","19",24
"422","CHESTER PARK","05",27
"423","CHESTERVALE","23",21
"424","CHESTNUT GARDENS","23",25
"425","CHESTNUT GREEN","23",24
"426","CHESTNUT RESIDENCES","23",9
"427","CHESTNUT VILLE","23",34
"428","CHIANG'S COURT","15",NA
"429","CHIKU MANSIONS","15",NA
"430","CHILTERN PARK","19",23
"431","CHIN BEE MANSION","15",NA
"432","CHINATOWN PLAZA APARTMENTS","02",NA
"433","CHIP BEE GARDENS","10",NA
"434","CHIP HOCK GARDENS","10",NA
"435","CHIVERTON","10",15
"436","CHOON KIM HOUSE","19",18
"437","CHOON MOEY MANSIONS","14",NA
"438","CHOON SING GARDEN","20",NA
"439","CHUAN PARK","19",33
"440","CHUAN SEVEN","19",NA
"441","CHUAN TERRACE","19",29
"442","CHUAN VIEW","19",NA
"443","CHUAN VILLAS","19",17
"444","CHUAN VISTA","19",18
"445","CHUN TIN COURT","21",NA
"446","CHUNG CHIN FLATS","15",NA
"447","CHUVILLE","05",28
"448","CITIGATE RESIDENCE","08",7
"449","CITY EDGE","11",10
"450","CITY GATE","07",0
"451","CITY LOFT","08",7
"452","CITY PLAZA","14",NA
"453","CITY REGENCY","12",9
"454","CITY SQUARE RESIDENCES","08",9
"455","CITY STATE APARTMENT","01",NA
"456","CITY STUDIOS","08",8
"457","CITY SUITES","12",2
"458","CITY TOWERS","10",NA
"459","CITY VISTA RESIDENCE","09",7
"460","CITYLIFE @ TAMPINES","18",2
"461","CITYLIGHTS","08",11
"462","CITYSCAPE AT FARRER PARK","08",3
"463","CITYVALE","09",15
"464","CLAREMONT","09",17
"465","CLASSICAL TERRACE","19",23
"466","CLAYMORE PLAZA APARTMENTS","09",NA
"467","CLEMENCEAU APARTMENTS","09",NA
"468","CLEMENTI PARK CONDO","21",33
"469","CLEMENTI WOODS CONDO","05",8
"470","CLIFTEN","10",11
"471","CLIVEDEN AT GRANGE","10",7
"472","CLOVER BY THE PARK","20",6
"473","CLOVER PARK","20",NA
"474","CLUNY COURT","10",NA
"475","CLUNY PARK RESIDENCE","10",2
"476","CLYDES RESIDENCE","08",12
"477","CLYDESCOVE","17",NA
"478","CLYDESVIEW","10",27
"479","CLYDESWOOD","13",25
"480","COASTAL BREEZE RESIDENCES","17",6
"481","COASTAL VIEW RESIDENCES","17",9
"482","COASTARINA","15",12
"483","COCO PALMS","18",-1
"484","COMFORT GARDEN","23",NA
"485","COMMONWEALTH TOWERS","03",-1
"486","COMPASS GREEN","16",NA
"487","COMPASS HEIGHTS","19",15
"488","COMPASS POINT","19",NA
"489","CONCOURSE SKYLINE","07",4
"490","CORAL ISLAND","04",11
"491","CORAL PARK","20",NA
"492","CORALIS","15",5
"493","CORALS AT KEPPEL BAY","04",2
"494","CORONA COURT","10",34
"495","CORONA VILLE","10",36
"496","CORONATION ARCADE","10",34
"497","CORONATION GARDENS","10",NA
"498","CORONATION GROVE","10",33
"499","CORONATION PLAZA","10",NA
"500","CORONATION VILLAGE","10",28
"501","CORONATION VILLE","10",NA
"502","COSMO","14",8
"503","COSTA DEL SOL","16",15
"504","COSTA ESTE","15",9
"505","COSTA RHU","15",20
"506","COSY 23","14",19
"507","COSY LODGE","14",16
"508","COTE D'AZUR","15",13
"509","COUNTRY ESQUIRE","20",26
"510","COUNTRY GRANDEUR","20",22
"511","COUNTRY PARK","16",15
"512","COUNTRY VIEW","27",NA
"513","CRADELS","12",3
"514","CRAIG PLACE","02",15
"515","CRANE COURT","15",NA
"516","CREE COURT","10",NA
"517","CRESCENDO BUILDING","15",NA
"518","CRESCENDO PARK","15",22
"519","CRESCENT BUILDING","12",NA
"520","CROWN CENTRE","10",NA
"521","CRYSTAL COURT","10",30
"522","CRYSTAL DE AZURE","19",12
"523","CRYSTAL DEW","14",14
"524","CRYSTAL HEIGHTS","05",8
"525","CRYSTAL LODGE","14",NA
"526","CRYSTAL MANSIONS","14",NA
"527","CRYSTAL RHU","15",18
"528","CRYSTAL TOWER","10",36
"529","CUBE 8","11",5
"530","CUBIK","15",7
"531","CUSCADEN RESIDENCES","10",16
"532","CUSCADEN ROYALE","10",8
"533","CYAN","10",4
"534","D'ALMIRA","13",6
"535","D'BANYAN","27",13
"536","D'CAMBRIDGE","08",12
"537","D'CASITA","14",7
"538","D'CASTILIA","15",5
"539","D'CHATEAU @ SHELFORD","11",6
"540","D'DALVEY","10",13
"541","D'ECOSIA","15",15
"542","D'ELIAS","18",13
"543","D'EVELYN","11",10
"544","D'FOCUS APARTMENTS","15",NA
"545","D'FRESCO","15",10
"546","D'GALLERY","14",12
"547","D'GROVE VILLAS","10",26
"548","D'HERITAGE APARTMENT","14",15
"549","D'HILLSIDE LOFT","05",NA
"550","D'HIRO @ HILLSIDE","19",3
"551","D'IXORAS","11",5
"552","D'KENARIS","28",NA
"553","D'LEEDON","10",4
"554","D'LOTUS","12",11
"555","D'MANOR","16",17
"556","D'MARINE","15",NA
"557","D'MIRA","12",5
"558","D'NEST","18",1
"559","D'OASIA","14",8
"560","D'PALMA","15",NA
"561","D'PAVILION","19",7
"562","D'SAVILLE","15",NA
"563","D'SUNRISE","15",12
"564","D'WEAVE","14",3
"565","D'ZIRE","19",4
"566","D-MANSIONS","15",19
"567","DAHLIA PARK","17",14
"568","DAIRY FARM ESTATE","23",29
"569","DAISY LODGE","13",32
"570","DAISY PARK","13",NA
"571","DAISY PETALS","13",10
"572","DAISY SUITES","13",2
"573","DAISY TERRACE","13",27
"574","DAKOTA RESIDENCES","14",8
"575","DALLA VALE","26",9
"576","DALVEY COURT","10",42
"577","DALVEY VILLAS","10",NA
"578","DARBY PARK EXECUTIVE SUITES","10",19
"579","DAWN VILLE","15",20
"580","DE CASALLE","15",NA
"581","DE CENTURION","15",9
"582","DE LENTE","10",14
"583","DE PARADISO","12",NA
"584","DE ROYALE","12",12
"585","DEDAP GARDENS","28",27
"586","DELFI ORCHARD","09",NA
"587","DELIGHT COURT","14",24
"588","DENG FU VILLE","14",11
"589","DENGFU VILLE","14",11
"590","DERBY COURT","11",39
"591","DERBYSHIRE HEIGHTS","11",14
"592","DEVONSHIRE 12","09",3
"593","DEVONSHIRE 8","09",1
"594","DEVONSHIRE APARTMENTS","09",NA
"595","DEVONSHIRE BUILDING","09",NA
"596","DEVONSHIRE RESIDENCES","09",4
"597","DLV","10",13
"598","DOMAIN 21","03",11
"599","DOMAIN CENTRE","15",NA
"600","DOMUS","12",6
"601","DONG XING COURT","15",NA
"602","DORMER PARK","10",25
"603","DORSET MANSIONS","08",NA
"604","DORSETT RESIDENCES","02",5
"605","DOUBLE BAY RESIDENCES","18",6
"606","DOVER PARKVIEW","05",21
"607","DRAGON YEAR GARDEN","15",NA
"608","DRAYCOTT 8","10",12
"609","DUBLIN LODGE","09",NA
"610","DUBLIN ROAD FLATS","09",NA
"611","DUCHESS CREST","10",19
"612","DUCHESS GARDENS","10",NA
"613","DUCHESS MANOR","10",12
"614","DUCHESS RESIDENCES","10",7
"615","DUCHESS ROYALE","10",6
"616","DUET","10",13
"617","DUKE'S GARDEN","10",NA
"618","DUKES RESIDENCES","10",6
"619","DUKU APARTMENTS","15",18
"620","DUKU COURT","15",NA
"621","DUNEARN COURT","11",NA
"622","DUNEARN ESTATE","11",NA
"623","DUNEARN GARDENS","11",26
"624","DUNEARN LODGE","11",19
"625","DUNEARN REGENCY","11",NA
"626","DUNEARN SUITES","11",6
"627","DUNMAN GROVE","15",26
"628","DUNMAN PLACE","15",17
"629","DUNMAN REGENCY","15",0
"630","DUNMAN VIEW","15",14
"631","DUNSFOLD 18","13",9
"632","DUNSFOLD RESIDENCES","13",7
"633","DUO RESIDENCES","07",1
"634","DYNASTY GARDEN II","10",36
"635","DYNASTY LODGE","10",NA
"636","E MAISON","13",2
"637","E7 LODGE","14",27
"638","EALING PARK","05",NA
"639","EAST 25 APARTMENTS","14",NA
"640","EAST COAST APARTMENTS","15",NA
"641","EAST COAST HILL","16",41
"642","EAST COAST RESIDENCES","16",8
"643","EAST COURT","15",NA
"644","EAST ELEGANCE","15",11
"645","EAST GALLERIA","15",6
"646","EAST GROVE","15",NA
"647","EAST MEADOWS","16",17
"648","EAST MEWS","15",11
"649","EAST PALM","15",14
"650","EAST SHINE","14",14
"651","EAST SHORE COURT","15",NA
"652","EAST SIGNATURE","15",12
"653","EAST TREASURE","15",14
"654","EAST VIEW","15",19
"655","EAST VIEW 18","15",NA
"656","EAST VIEW GARDENS","16",NA
"657","EAST VILLAGE","16",4
"658","EAST VILLE","15",52
"659","EASTBAY","15",7
"660","EASTCOVE RESIDENCES","15",14
"661","EASTERN LAGOON I","16",33
"662","EASTERN LAGOON II","16",33
"663","EASTERN LODGE","15",NA
"664","EASTERN RESIDENCE","15",11
"665","EASTPAC BUILDING","12",NA
"666","EASTPOINT GREEN","18",20
"667","EASTREES","15",2
"668","EASTSIDE LOFT","15",15
"669","EASTVALE","18",20
"670","EASTWIND MANSIONS","15",NA
"671","EASTWOOD CENTRE","16",20
"672","EASTWOOD GARDENS","15",NA
"673","EASTWOOD GREEN CONDO","16",20
"674","EASTWOOD GREEN TERRACE","16",20
"675","EASTWOOD LODGE","16",NA
"676","EASTWOOD PARK","16",21
"677","EASTWOOD REGENCY","16",5
"678","EASTWOOD TERRACE","16",NA
"679","EASTWOOD VALE","16",21
"680","EASTWOOD VILLE","16",23
"681","EASTWOOD WALK GARDENS","16",NA
"682","EATON PARK","28",NA
"683","EBER GARDENS","09",NA
"684","EBONY MANSIONS","15",23
"685","ECHELON","03",2
"686","ECO","16",1
"687","ECO SANCTUARY","23",2
"688","ECOPOLITAN","19",2
"689","ECOVILLE","12",10
"690","EDELWEISS PARK","17",12
"691","EDEN CREST","19",13
"692","EDEN PARK","10",NA
"693","EDEN VIEW","19",12
"694","EDENZ LOFT","14",3
"695","EDENZ SUITES","14",4
"696","EDWARD LEE APARTMENTS","10",NA
"697","EIGHT @ EAST COAST","15",9
"698","EIGHT COURTYARDS","27",3
"699","EIGHT RIVERSUITES","12",2
"700","EIS RESIDENCES","15",5
"701","EK TOH COURT","19",NA
"702","EL CENTRO","02",14
"703","ELEVEN @ HOLLAND","10",4
"704","ELIAS GREEN","18",24
"705","ELIAS TERRACE","18",24
"706","ELIZABETH HEIGHTS","09",33
"707","ELIZABETH REGENCY","09",NA
"708","ELIZABETH TOWERS","09",38
"709","ELLIOT AT THE EAST COAST","15",5
"710","EMERALD EAST","15",20
"711","EMERALD GARDEN","01",20
"712","EMERALD PARK","03",25
"713","EMERY POINT","15",15
"714","EMILY RESIDENCE","09",12
"715","EMMANUEL HOUSE","14",NA
"716","EMPIRE LOFTS","02",NA
"717","EMPRADO SUITES","15",10
"718","EN FU MANSIONS","14",NA
"719","ENG APARTMENTS","14",NA
"720","ENG AUN MANSION","11",NA
"721","ENG AUN PARK","11",NA
"722","ENG HOON MANSIONS","03",NA
"723","ENG KONG GREEN","21",19
"724","ENGLISH VILLAS","16",NA
"725","ENVIO","15",8
"726","EON SHENTON","02",-1
"727","EQUATORIAL APARTMENTS","15",41
"728","EQUITY HEIGHTS","09",NA
"729","ESCADA VIEW","14",21
"730","ESPA","23",10
"731","ESPACE","15",10
"732","ESPADA","09",5
"733","ESPANA","11",NA
"734","ESPARINA RESIDENCES","19",4
"735","ESPIRA RESIDENCE","15",8
"736","ESPIRA SPRING","15",8
"737","ESPIRA SUITES","15",5
"738","ESTA RUBY","15",8
"739","ESTE VILLAS","28",4
"740","ESTELLA GARDENS","17",19
"741","ESTERINA","15",9
"742","ESTILO","09",9
"743","ESTIQUE","15",11
"744","ESTRIVILLAS","10",5
"745","ETON COURT","15",14
"746","EUHABITAT","14",2
"747","EUNOS GREEN","14",20
"748","EUNOS MANSION","14",36
"749","EUNOS PARK","14",23
"750","EUNOS VILLE","14",31
"751","EUPHONY GARDENS","27",16
"752","EURO-ASIA APARTMENTS","12",28
"753","EURO-ASIA COURT","09",24
"754","EURO-ASIA LODGE","15",20
"755","EURO-ASIA PARK","13",22
"756","EVANIA","19",6
"757","EVELYN MANSIONS","11",20
"758","EVER LODGE","14",NA
"759","EVERGREEN PARK","19",19
"760","EVERGREEN VIEW","14",7
"761","EVERGREEN WOODS","21",NA
"762","EVERITT EDGE","15",3
"763","EVERITT GREEN","15",NA
"764","EWART PARK","10",NA
"765","EWE BOON REGENT","10",18
"766","EXCELLENCE MANSIONS","14",27
"767","EXCELSIOR GARDENS","16",27
