name,type,rent,date
SILVERSEA,Condo,3.8,18
CAIRNHILL NINE,Condo,6.16,18
76 SHENTON,NA,6.23,18
CHILTERN PARK ,Condo,2.35,18
THE CALROSE,Condo,2.58,18
COMMON BEDROOM ,NA,3.63,18
SMARTSUITES@SIMS,Condo,4.42,18
THE BAYSHORE,Condo,3.13,18
389 BUKIT BATOK WEST AVE 5,NA,1.94,18
LUMA,Condo,4.76,18
SILVERSEA,Condo,3.8,18
CAIRNHILL NINE,Condo,6.16,18
76 SHENTON,NA,6.23,18
CHILTERN PARK ,Condo,2.35,18
THE CALROSE,Condo,2.58,18
COMMON BEDROOM ,NA,3.63,18
NINETEEN SHERLFORD ,NA,7.5,18
EAST COAST DRIVE,NA,2,18
ECHELON,Condo,5.86,18
DUO RESIDENCES,Condo,6,18
JJ'S RESIDENCES,Condo,4.75,18
JJ'S RESIDENCES,Condo,6.2,18
BRADDELL HEIGHTS ESTATE,NA,2.22,18
COSTA DEL SOL,Condo,4.41,18
NOUVEL 18,Condo,5.36,18
8 VANDA ROAD,NA,1.97,18
THE SERENADE @ HOLLAND,Condo,3.13,18
7 KALLANG PLACE,NA,1.9,18
10 KAKI BUKIT AVENUE 1,NA,1.8,18
11 CHANGI NORTH STREET 1,NA,1.8,18
512 CHAI CHEE LANE,NA,1.6,18
CHANGI SOUTH STREET 1,NA,1.7,18
30A KALLANG PLACE,NA,4.2,18
1091 LOWER DELTA ROAD,NA,2.3,18
1090 LOWER DELTA ROAD,NA,1.95,18
TANGLIN HALT INDUSTRIAL ESTATE,NA,2.4,18
THE SERENADE @ HOLLAND,Condo,3.13,18
7 KALLANG PLACE,NA,1.9,18
10 KAKI BUKIT AVENUE 1,NA,1.8,18
11 CHANGI NORTH STREET 1,NA,1.8,18
512 CHAI CHEE LANE,NA,1.6,18
CHANGI SOUTH STREET 1,NA,1.7,18
30A KALLANG PLACE,NA,4.2,18
1091 LOWER DELTA ROAD,NA,2.3,18
1090 LOWER DELTA ROAD,NA,1.95,18
TANGLIN HALT INDUSTRIAL ESTATE,NA,2.4,18
1003 BUKIT MERAH CENTRAL,NA,3.3,18
HDB @ BUKIT BATOK,NA,2.17,18
NOUVEL 18,Condo,5.65,18
NOUVEL 18,Condo,5.66,18
HDB @ CLEMENTI,NA,3.19,18
NOUVEL 18,Condo,5.62,18
1001 JALAN BUKIT MERAH,NA,2.3,18
OXLEY BUZHUB,NA,5.56,18
OXLEY BIZHUB,NA,1.72,18
MARINA ONE,Condo,5.99,18
MARINA ONE,Condo,5.17,18
THE SCOTTS TOWER,Condo,6.7,18
THE CLAYMORE,Condo,4.48,18
ICON,Condo,5.85,18
 RESIDENCES W SINGAPORE SENTOSA...,Condo,4.22,18
DUO RESIDENCES,Condo,5.92,18
TELOK KURAU SEMI-D,NA,1.83,18
DUO RESIDENCES,Condo,6.85,18
Q BAY RESIDENCES,Condo,3.81,18
CENTRAL GROVE,Condo,2.9,18
MARINA ONE,Condo,5.17,18
THE SCOTTS TOWER,Condo,6.7,18
THE CLAYMORE,Condo,4.48,18
ICON,Condo,5.85,18
 RESIDENCES W SINGAPORE SENTOSA...,Condo,4.22,18
DUO RESIDENCES,Condo,5.92,18
TELOK KURAU SEMI-D,NA,1.83,18
DUO RESIDENCES,Condo,6.85,18
Q BAY RESIDENCES,Condo,3.81,18
CENTRAL GROVE,Condo,2.9,18
THE CREST,Condo,5.14,18
ICON,Condo,5.17,18
DUO RESIDENCES,Condo,5.42,18
DUO RESIDENCES,Condo,6.07,18
DUO RESIDENCES,Condo,5.13,18
DUO RESIDENCES,Condo,5.52,18
DUO RESIDENCES,Condo,5.1,18
DUO RESIDENCES,Condo,4.71,18
DUO RESIDENCES,Condo,5.05,18
THE SCOTTS TOWER,Condo,5.46,18
THE SCOTTS TOWER,Condo,7.19,18
ORCHARD SCOTTS,Condo,4.92,18
VIDA,Condo,5.43,18
ROBIN RESIDENCES,Condo,5.95,18
201 PEARL'S HILL TERRACE,NA,30.97,18
201 PEARL'S HILL TERRACE,NA,33.42,18
TEMPCO TECHNOMINIUM,NA,3.2,18
RIVER PLACE,Condo,3.48,18
ALBA,Condo,5.12,18
TOWNERVILLE,NA,2.22,18
THE SCOTTS TOWER,Condo,7.19,18
ORCHARD SCOTTS,Condo,4.92,18
VIDA,Condo,5.43,18
ROBIN RESIDENCES,Condo,5.95,18
201 PEARL'S HILL TERRACE,NA,30.97,18
201 PEARL'S HILL TERRACE,NA,33.42,18
TEMPCO TECHNOMINIUM,NA,3.2,18
RIVER PLACE,Condo,3.48,18
ALBA,Condo,5.12,18
TOWNERVILLE,NA,2.22,18
SCOTTS SQUARE,Condo,8.49,18
RV EDGE,Condo,7,18
ARDMORE PARK,Condo,5.37,18
NEWLY BUILD TERRACE HOUSE FOR...,NA,4,18
SKY @ ELEVEN,Condo,3.5,18
SENNETT ESTATE,NA,1.64,18
HDB @ SERANGOON NORTH ESTATE,NA,1.86,18
SENJA GREEN,NA,3.1,18
NEPTUNE COURT,Condo,2,18
CLEMENTI PARK,Condo,1.93,18
VACANZA @ EAST,Condo,2.97,18
THE MARQUE @ IRRAWADDY,Condo,3.35,18
THE SAIL @ MARINA BAY,Condo,5.6,18
TESSERINA CONDO,Condo,2.65,18
THE PARC CONDOMINIUM,Condo,2.31,18
4A BLK 259C COMPASSVALE ROAD,NA,2.17,18
TREASURE ON BALMORAL,Condo,3.7,18
SAGE @ 11A NASSIM ROAD,Condo,5.69,18
TRIO,NA,7.61,18
TRIO,NA,8.45,18
VACANZA @ EAST,Condo,2.97,18
THE MARQUE @ IRRAWADDY,Condo,3.35,18
THE SAIL @ MARINA BAY,Condo,5.6,18
TESSERINA CONDO,Condo,2.65,18
THE PARC CONDOMINIUM,Condo,2.31,18
4A BLK 259C COMPASSVALE ROAD,NA,2.17,18
TREASURE ON BALMORAL,Condo,3.7,18
SAGE @ 11A NASSIM ROAD,Condo,5.69,18
TRIO,NA,7.61,18
TRIO,NA,8.45,18
TRIO,NA,10.36,18
TRIO,NA,7.82,18
TRIO,NA,9.68,18
TRIO,NA,10.61,18
MULBERRY TREE,Condo,3.94,18
THE HOLLAND COLLECTION,Condo,3.37,18
THE PIER @ ROBERTSON,Condo,5.18,18
PEACH GARDEN,NA,1.67,18
9 SELEGIE ROAD,NA,3.33,18
THE BAYSHORE ,Condo,2.91,18
SOMMERVILLE PARK,Condo,3.56,18
THE CENTRAL,NA,9.81,18
TRIO,NA,9.51,18
TRIO,NA,6.95,18
E MAISON,Condo,3.81,18
THE WATERINA,Condo,3.94,18
HOLLAND RESIDENES ,Condo,4.32,18
BELMONT  ESTATE,NA,3.61,18
HDB @ WOODLANDS,NA,1.86,18
1 FABER HEIGHTS,NA,1.67,18
SOMMERVILLE PARK,Condo,3.56,18
THE CENTRAL,NA,9.81,18
TRIO,NA,9.51,18
TRIO,NA,6.95,18
E MAISON,Condo,3.81,18
THE WATERINA,Condo,3.94,18
HOLLAND RESIDENES ,Condo,4.32,18
BELMONT  ESTATE,NA,3.61,18
HDB @ WOODLANDS,NA,1.86,18
1 FABER HEIGHTS,NA,1.67,18
URBAN RESIDENCES,Condo,3.93,18
CENTRO RESIDENCES,Condo,4.42,18
PARC OASIS,Condo,2.43,18
THE BEACON,Condo,4.42,18
EMERALD GARDEN,Condo,3.89,18
CAIRNHILL RESIDENCES,Condo,5.53,18
PARKWAY VIEW,Condo,2.59,18
SILVERSEA,Condo,3.44,18
ALTEZ,Condo,5.97,18
CYAN,Condo,4.58,18
NOUVEL 18,Condo,5.25,18
NOUVEL 18,Condo,5.33,18
NOUVEL 18,Condo,5.13,18
CLIVEDEN AT GRANGE,Condo,4.4,18
CLIVEDEN AT GRANGE,Condo,4.27,18
LA FIESTA,Condo,4.25,18
THE SAIL @ MARINA BAY,Condo,4.89,18
NASSIM WOODS,Condo,3.52,18
CLIVEDEN AT GRANGE,Condo,3.89,18
SPOTTISWOODE RESIDENCES,Condo,5.32,18
NOUVEL 18,Condo,5.25,18
NOUVEL 18,Condo,5.33,18
NOUVEL 18,Condo,5.13,18
CLIVEDEN AT GRANGE,Condo,4.4,18
CLIVEDEN AT GRANGE,Condo,4.27,18
LA FIESTA,Condo,4.25,18
THE SAIL @ MARINA BAY,Condo,4.89,18
NASSIM WOODS,Condo,3.52,18
CLIVEDEN AT GRANGE,Condo,3.89,18
SPOTTISWOODE RESIDENCES,Condo,5.32,18
CORONATION  WEST PARK,NA,4.48,18
ST REGIS RESIDENCES,Condo,5.02,18
BARKER RD,NA,3.82,18
EMERALD PARK,Condo,3.35,18
VILLA AZURA,Condo,2.5,18
THE PINNACLE@DUXTON,NA,3.3,18
WHITE WATER ,Condo,2.71,18
ORCHARD SCOTTS RESIDENCES,NA,5.37,18
SEMI-D,NA,2.67,18
DUCHESS ,NA,2.89,18
TEMPCO TECHNOMINIUM,NA,3.2,18
LLOYD SIXTYFIVE,NA,4.95,18
HOLLYWOOD APARTMENTS,Condo,3,18
76 SHENTON,Condo,5.61,18
SILVERSEA,Condo,4.2,18
THE SHORE RESIDENCES,Condo,4.39,18
THE SHORE RESIDENCES,Condo,3.6,18
THE SHORE RESIDENCES,Condo,3.87,18
THE SHORE RESIDENCES,Condo,3.99,18
ROCHELLE AT NEWTON,Condo,4.32,18
TEMPCO TECHNOMINIUM,NA,3.2,18
LLOYD SIXTYFIVE,NA,4.95,18
