name,type,rent,date
MONTEREY PARK,Condo,2.83,NA
MONTEREY PARK,Condo,2.64,NA
MONVILLE MANSION,NA,2.13,NA
MORIMASA GARDENS,Condo,3.23,NA
MOUNT ROSIE GARDEN,Condo,2.55,NA
MUTIARA CREST,NA,5,NA
NASSIM MANSION,NA,3.22,NA
NATHAN RESIDENCES,NA,4.9,NA
NATHAN RESIDENCES,NA,4.9,NA
MODENA,Condo,2.27,NA
MONTEREY PARK,Condo,2.83,NA
MONTEREY PARK,Condo,2.64,NA
MONVILLE MANSION,NA,2.13,NA
MORIMASA GARDENS,Condo,3.23,NA
MOUNT ROSIE GARDEN,Condo,2.55,NA
MUTIARA CREST,NA,5,NA
NASSIM MANSION,NA,3.22,NA
NATHAN RESIDENCES,NA,4.9,NA
NATHAN RESIDENCES,NA,4.9,NA
NATHAN RESIDENCES,NA,4.46,NA
NATHAN RESIDENCES,NA,4.45,NA
NATHAN RESIDENCES,NA,4.73,NA
NATHAN RESIDENCES,NA,4.9,NA
NATHAN RESIDENCES,NA,4.58,NA
NICOLE GREEN,NA,2.78,NA
NIN RESIDENCE,Condo,2.89,NA
NINE RESIDENCES,Condo,2.39,NA
NOMU,NA,5.96,NA
NORTHVALE,NA,2.07,NA
NOUVEL 18,Condo,5.25,NA
NOUVEL 18,Condo,5.33,NA
NOUVEL 18,Condo,5.78,NA
NOUVEL 18,Condo,5.25,NA
NOUVEL 18,Condo,4.9,NA
NOUVEL 18,Condo,5.25,NA
NOUVEL 18,Condo,5.33,NA
NOUVEL 18,Condo,5.13,NA
NOUVEL 18,Condo,5.38,NA
NOUVEL 18,Condo,5.13,NA
NOUVEL 18,Condo,5.25,NA
NOUVEL 18,Condo,5.33,NA
NOUVEL 18,Condo,5.78,NA
NOUVEL 18,Condo,5.25,NA
NOUVEL 18,Condo,4.9,NA
NOUVEL 18,Condo,5.25,NA
NOUVEL 18,Condo,5.33,NA
NOUVEL 18,Condo,5.13,NA
NOUVEL 18,Condo,5.38,NA
NOUVEL 18,Condo,5.13,NA
NOVENA COURT,NA,3.1,NA
NOVENA SUITES,NA,4.05,NA
NV RESIDENCES,Condo,2.88,NA
OLA RESIDENCES @ MOUNTBATTEN,Condo,3.55,NA
ONE AMBER,Condo,3.76,NA
ONE AMBER,Condo,3.3,NA
ONE BALMORAL,Condo,4.64,NA
ONE DEVONSHIRE,Condo,6.78,NA
ONE DEVONSHIRE,Condo,6.99,NA
ONE JERVOIS,Condo,4.33,NA
ONE NORTH RESIDENCES,Condo,4.5,NA
ONE NORTH RESIDENCES,Condo,3.76,NA
ONE NORTH RESIDENCES,Condo,3.47,NA
ONE NORTH RESIDENCES,Condo,4.41,NA
ONE NORTH RESIDENCES,Condo,7.48,NA
ONE NORTH RESIDENCES,Condo,3.76,NA
ONE NORTH RESIDENCES,Condo,5.8,NA
ONE NORTH RESIDENCES,Condo,5,NA
ONE NORTH RESIDENCES,Condo,6.61,NA
ONE OXLEY RISE,NA,3.43,NA
ONE NORTH RESIDENCES,Condo,4.5,NA
ONE NORTH RESIDENCES,Condo,3.76,NA
ONE NORTH RESIDENCES,Condo,3.47,NA
ONE NORTH RESIDENCES,Condo,4.41,NA
ONE NORTH RESIDENCES,Condo,7.48,NA
ONE NORTH RESIDENCES,Condo,3.76,NA
ONE NORTH RESIDENCES,Condo,5.8,NA
ONE NORTH RESIDENCES,Condo,5,NA
ONE NORTH RESIDENCES,Condo,6.61,NA
ONE OXLEY RISE,NA,3.43,NA
ONE SHENTON,Condo,5.79,NA
ONE SHENTON,Condo,5.54,NA
ONE SHENTON,Condo,NA,NA
ONE SHENTON,Condo,5.83,NA
ONE SHENTON,Condo,4.69,NA
ONE TREE HILL,NA,NA,NA
ONE TREE HILL,NA,NA,NA
ONZE @ TANJONG PAGAR,NA,6.23,NA
ONZE @ TANJONG PAGAR,NA,5.64,NA
ORANGE REGENCY,NA,3.77,NA
ORCHARD SCOTTS,Condo,4.38,NA
ORCHARD SCOTTS,Condo,5.99,NA
ORCHARD SCOTTS,Condo,6.32,NA
PALM SPRING,Condo,3.01,NA
PALM SPRING,Condo,3.01,NA
PANDAN VALLEY,Condo,NA,NA
PANDAN VALLEY,Condo,2.1,NA
PARC MACKENZIE,NA,3.53,NA
PARC OASIS,Condo,2.32,NA
PARC SOPHIA,NA,4.2,NA
ORCHARD SCOTTS,Condo,4.38,NA
ORCHARD SCOTTS,Condo,5.99,NA
ORCHARD SCOTTS,Condo,6.32,NA
PALM SPRING,Condo,3.01,NA
PALM SPRING,Condo,3.01,NA
PANDAN VALLEY,Condo,NA,NA
PANDAN VALLEY,Condo,2.1,NA
PARC MACKENZIE,NA,3.53,NA
PARC OASIS,Condo,2.32,NA
PARC SOPHIA,NA,4.2,NA
PARC SOPHIA,NA,4.2,NA
PARK INFINIA @ WEE NAM,Condo,4.3,NA
PARK WEST,Condo,NA,NA
PARKWAY VIEW,NA,2.59,NA
PARKWAY VIEW,NA,2.41,NA
PARVIS,Condo,4.59,NA
PARVIS,Condo,4.59,NA
PARVIS,Condo,4.66,NA
PARVIS,Condo,4.41,NA
PARVIS,Condo,4.77,NA
PARVIS,Condo,4.53,NA
PARVIS,Condo,4.95,NA
PARVIS,Condo,4.41,NA
PARVIS,Condo,4.59,NA
PATERSON RESIDENCE,Condo,3.64,NA
PATERSON RESIDENCE,Condo,3.77,NA
PATERSON RESIDENCE,Condo,2.96,NA
PAVILION 11 AT NOVENA,Condo,3.97,NA
PAVILION 11 AT NOVENA,Condo,3.87,NA
PAVILION 11 AT NOVENA,Condo,3.97,NA
PARVIS,Condo,4.53,NA
PARVIS,Condo,4.95,NA
PARVIS,Condo,4.41,NA
PARVIS,Condo,4.59,NA
PATERSON RESIDENCE,Condo,3.64,NA
PATERSON RESIDENCE,Condo,3.77,NA
PATERSON RESIDENCE,Condo,2.96,NA
PAVILION 11 AT NOVENA,Condo,3.97,NA
PAVILION 11 AT NOVENA,Condo,3.87,NA
PAVILION 11 AT NOVENA,Condo,3.97,NA
PEPYS HILL CONDO,Condo,NA,NA
PEPYS HILL CONDO,Condo,2.23,NA
PEPYS HILL CONDO,Condo,NA,NA
PINE GROVE,Condo,1.89,NA
PINNACLE 16,NA,3.78,NA
Q BAY RESIDENCES,Condo,3.02,NA
QUEEN ASTRID PARK,Condo,2.8,NA
QUEENS,Condo,NA,NA
QUEENS,Condo,3.12,NA
QUEENS,Condo,3.69,NA
RADIX,NA,2.91,NA
REFLECTIONS AT KEPPEL BAY,Condo,5.04,NA
REFLECTIONS AT KEPPEL BAY,Condo,5.05,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.26,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.45,NA
REFLECTIONS AT KEPPEL BAY,Condo,5,NA
REFLECTIONS AT KEPPEL BAY,Condo,5.1,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.29,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.24,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.48,NA
RADIX,NA,2.91,NA
REFLECTIONS AT KEPPEL BAY,Condo,5.04,NA
REFLECTIONS AT KEPPEL BAY,Condo,5.05,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.26,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.45,NA
REFLECTIONS AT KEPPEL BAY,Condo,5,NA
REFLECTIONS AT KEPPEL BAY,Condo,5.1,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.29,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.24,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.48,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.48,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.4,NA
REFLECTIONS AT KEPPEL BAY,Condo,5.29,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.05,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.48,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.93,NA
REFLECTIONS AT KEPPEL BAY,Condo,4.38,NA
REGENCY PARK,Condo,2.98,NA
REGENT HEIGHTS,Condo,2.54,NA
REGENT RESIDENCES,NA,3.63,NA
REGENTVILLE,Condo,2.32,NA
REGENTVILLE,Condo,2.32,NA
REIGNWOOD HAMILTON SCOTTS,NA,4.46,NA
RESIDENCES @ KILLINEY,Condo,5.88,NA
REZI 26,NA,3.56,NA
RHAPSODY ON MOUNT ELIZABETH,NA,2.49,NA
RICHMOND PARK,Condo,NA,NA
RICHMOND PARK,Condo,3.8,NA
RICHMOND PARK,Condo,NA,NA
RICHMOND PARK,Condo,4.55,NA
REGENTVILLE,Condo,2.32,NA
REGENTVILLE,Condo,2.32,NA
REIGNWOOD HAMILTON SCOTTS,NA,4.46,NA
RESIDENCES @ KILLINEY,Condo,5.88,NA
REZI 26,NA,3.56,NA
RHAPSODY ON MOUNT ELIZABETH,NA,2.49,NA
RICHMOND PARK,Condo,NA,NA
RICHMOND PARK,Condo,3.8,NA
RICHMOND PARK,Condo,NA,NA
RICHMOND PARK,Condo,4.55,NA
RICHMOND PARK,Condo,4.74,NA
RICHMOND PARK,Condo,4.45,NA
RICHMOND PARK,Condo,4.02,NA
RICHMOND PARK,Condo,3.95,NA
RIDGEWOOD CONDO,Condo,2.81,NA
RIS GRANDEUR,Condo,2.63,NA
RIVER PLACE,Condo,4.45,NA
RIVER PLACE,Condo,2.93,NA
RIVER PLACE,Condo,4.85,NA
RIVER PLACE,Condo,4.25,NA
RIVER PLACE,Condo,4.7,NA
RIVER PLACE,Condo,4.2,NA
RIVER PLACE,Condo,4.14,NA
RIVERBANK @ FERNVALE,Condo,2.87,NA
RIVERGATE,NA,4.45,NA
RIVERSIDE 48,NA,3.74,NA
RIVERSIDE 48,NA,4.21,NA
RIVERTREES RESIDENCES,Condo,2.96,NA
ROBERTSON 100,NA,4.37,NA
ROBINSON SUITES,NA,5.64,NA
RIVER PLACE,Condo,4.7,NA
RIVER PLACE,Condo,4.2,NA
RIVER PLACE,Condo,4.14,NA
RIVERBANK @ FERNVALE,Condo,2.87,NA
RIVERGATE,NA,4.45,NA
RIVERSIDE 48,NA,3.74,NA
RIVERSIDE 48,NA,4.21,NA
RIVERTREES RESIDENCES,Condo,2.96,NA
ROBERTSON 100,NA,4.37,NA
ROBINSON SUITES,NA,5.64,NA
ROBINSON SUITES,NA,4.81,NA
ROCHALIE RESIDENCES,NA,4.96,NA
ROCHELLE AT NEWTON,NA,4.06,NA
ROSEWOOD,Condo,2.37,NA
ROSEWOOD SUITES,Condo,2.54,NA
ROSYTH VILLE,NA,2.43,NA
RV EDGE,NA,4.23,NA
RV EDGE,NA,4.2,NA
RV RESIDENCES,Condo,4.5,NA
RV RESIDENCES,Condo,4.8,NA
RV RESIDENCES,Condo,4.5,NA
RV RESIDENCES,Condo,4.5,NA
RV RESIDENCES,Condo,4.5,NA
RV RESIDENCES,Condo,4.8,NA
SAGE,Condo,5.64,NA
SAGE,Condo,5.89,NA
SAM KIANG MANSIONS,NA,3.07,NA
SANCTUARY GREEN,Condo,3.01,NA
SANCTUARY GREEN,Condo,3.11,NA
SANCTUARY GREEN,Condo,2.97,NA
RV RESIDENCES,Condo,4.5,NA
RV RESIDENCES,Condo,4.5,NA
RV RESIDENCES,Condo,4.5,NA
RV RESIDENCES,Condo,4.8,NA
SAGE,Condo,5.64,NA
SAGE,Condo,5.89,NA
SAM KIANG MANSIONS,NA,3.07,NA
SANCTUARY GREEN,Condo,3.01,NA
SANCTUARY GREEN,Condo,3.11,NA
SANCTUARY GREEN,Condo,2.97,NA
SANCTUARY GREEN,Condo,3.62,NA
SANCTUARY GREEN,Condo,3.57,NA
SANCTUARY GREEN,Condo,3.65,NA
SANCTUARY GREEN,Condo,3.13,NA
SARHAD VILLE,Condo,2.59,NA
SARHAD VILLE,Condo,2.67,NA
SARKIES GREEN,NA,5.18,NA
SEAHILL,NA,3.72,NA
SEAHILL,NA,4.17,NA
SEAHILL,NA,3.48,NA
SEAHILL,NA,4.18,NA
SEAHILL,NA,3.83,NA
SELETAR SPRINGS CONDO,Condo,1.9,NA
SENNETT RESIDENCE,Condo,4.94,NA
SENNETT RESIDENCE,Condo,3.72,NA
SETIA RESIDENCES,NA,3.58,NA
SIGNATURE PARK,Condo,NA,NA
SILVERSEA,Condo,4.39,NA
SILVERSEA,Condo,3.26,NA
SIMS URBAN OASIS,Condo,4.4,NA
SEAHILL,NA,4.18,NA
SEAHILL,NA,3.83,NA
SELETAR SPRINGS CONDO,Condo,1.9,NA
SENNETT RESIDENCE,Condo,4.94,NA
SENNETT RESIDENCE,Condo,3.72,NA
SETIA RESIDENCES,NA,3.58,NA
SIGNATURE PARK,Condo,NA,NA
SILVERSEA,Condo,4.39,NA
SILVERSEA,Condo,3.26,NA
SIMS URBAN OASIS,Condo,4.4,NA
SIMS URBAN OASIS,Condo,3.88,NA
SIMS URBAN OASIS,Condo,4.39,NA
SIMS URBAN OASIS,Condo,7.38,NA
SIMSVILLE,Condo,NA,NA
SKY VUE,Condo,4.1,NA
SKY VUE,Condo,4.42,NA
SKY VUE,Condo,3.84,NA
SKY VUE,Condo,3.28,NA
SKYSUITES @ ANSON,NA,6.89,NA
SKYSUITES @ ANSON,NA,6.14,NA
SOLEIL @ SINARAN,Condo,4.7,NA
SOLEIL @ SINARAN,Condo,3.84,NA
SOMMERVILLE GRANDEUR,Condo,2.8,NA
SOMMERVILLE LOFT,NA,3.16,NA
SOMMERVILLE PARK,Condo,NA,NA
SOPHIA HILLS,Condo,5.29,NA
SOPHIA RESIDENCE,NA,4.5,NA
SOPHIA RESIDENCE,NA,4.51,NA
SOPHIA RESIDENCE,NA,4.65,NA
SPACE @ KOVAN,NA,NA,NA
SOLEIL @ SINARAN,Condo,4.7,NA
SOLEIL @ SINARAN,Condo,3.84,NA
SOMMERVILLE GRANDEUR,Condo,2.8,NA
SOMMERVILLE LOFT,NA,3.16,NA
SOMMERVILLE PARK,Condo,NA,NA
SOPHIA HILLS,Condo,5.29,NA
SOPHIA RESIDENCE,NA,4.5,NA
SOPHIA RESIDENCE,NA,4.51,NA
SOPHIA RESIDENCE,NA,4.65,NA
SPACE @ KOVAN,NA,NA,NA
SPANISH VILLAGE,Condo,2.25,NA
SPOTTISWOODE 18,NA,6.43,NA
SPOTTISWOODE RESIDENCES,Condo,4.81,NA
SPOTTISWOODE RESIDENCES,Condo,4.98,NA
SPOTTISWOODE RESIDENCES,Condo,5.18,NA
SPOTTISWOODE RESIDENCES,Condo,4.95,NA
SPOTTISWOODE RESIDENCES,Condo,5.28,NA
SPOTTISWOODE RESIDENCES,Condo,5.18,NA
SPOTTISWOODE RESIDENCES,Condo,5.16,NA
SPRING GROVE,Condo,3.31,NA
SPRINGDALE,Condo,NA,NA
STARFIRE @ SOPHIA,NA,2.17,NA
STARLIGHT SUITES,NA,6.07,NA
STARS OF KOVAN,NA,21.9,NA
STRATA,NA,3.75,NA
STRATA,NA,3.94,NA
STRATA,NA,4.22,NA
STUDIO 3,NA,NA,NA
SUITES 123,NA,3.57,NA
SUITES @ CAIRNHILL,NA,5.07,NA
SPRINGDALE,Condo,NA,NA
STARFIRE @ SOPHIA,NA,2.17,NA
STARLIGHT SUITES,NA,6.07,NA
STARS OF KOVAN,NA,21.9,NA
STRATA,NA,3.75,NA
STRATA,NA,3.94,NA
STRATA,NA,4.22,NA
STUDIO 3,NA,NA,NA
SUITES 123,NA,3.57,NA
SUITES @ CAIRNHILL,NA,5.07,NA
SUITES @ CAIRNHILL,NA,4.37,NA
SUITES @ CAIRNHILL,NA,4.64,NA
SUITES @ CAIRNHILL,NA,5.07,NA
SUITES @ CAIRNHILL,NA,4.37,NA
SUITES AT ORCHARD,NA,NA,NA
SUITES AT ORCHARD,NA,6.64,NA
SUITES AT ORCHARD,NA,6.64,NA
SUITES AT ORCHARD,NA,NA,NA
SUITES AT ORCHARD,NA,4.24,NA
SUITES AT ORCHARD,NA,6.57,NA
SUITES AT ORCHARD,NA,6.2,NA
SUITES DE LAUREL,NA,4.33,NA
SUMMERDALE,Condo,2.52,NA
SUNGLADE,Condo,3.13,NA
SYMPHONY SUITES,Condo,3.56,NA
SYMPHONY SUITES,Condo,2.95,NA
SYMPHONY SUITES,Condo,2.93,NA
SYMPHONY SUITES,Condo,3.31,NA
SYMPHONY SUITES,Condo,3.02,NA
SYMPHONY SUITES,Condo,3.56,NA
SUITES AT ORCHARD,NA,6.2,NA
SUITES DE LAUREL,NA,4.33,NA
SUMMERDALE,Condo,2.52,NA
SUNGLADE,Condo,3.13,NA
SYMPHONY SUITES,Condo,3.56,NA
SYMPHONY SUITES,Condo,2.95,NA
SYMPHONY SUITES,Condo,2.93,NA
SYMPHONY SUITES,Condo,3.31,NA
SYMPHONY SUITES,Condo,3.02,NA
SYMPHONY SUITES,Condo,3.56,NA
TAIPAN GRAND,NA,2.42,NA
TAIPAN GRAND,NA,2.4,NA
TANAMERA CREST,Condo,2.49,NA
TANGLIN VIEW,Condo,3.07,NA
TANGLIN VIEW,Condo,3.21,NA
TANGLIN VIEW,Condo,3.75,NA
TANGLIN VIEW,Condo,3.65,NA
TANGLIN VIEW,Condo,3.45,NA
TANJONG RIA CONDOMINIUM,Condo,2.7,NA
TEN @ SUFFOLK,NA,3.5,NA
THE AMERY,Condo,3.02,NA
THE ANCHORAGE,Condo,2.83,NA
THE ANCHORAGE,Condo,2.32,NA
THE ARTE @ THOMSON,Condo,3.28,NA
THE ATRIA AT MEYER,Condo,3.39,NA
THE BALMORAL,Condo,NA,NA
THE BALMORAL,Condo,1.57,NA
THE BALMORAL,Condo,2.29,NA
THE BALMORAL,Condo,2.29,NA
THE BALMORAL SPRING,NA,NA,NA
THE AMERY,Condo,3.02,NA
THE ANCHORAGE,Condo,2.83,NA
THE ANCHORAGE,Condo,2.32,NA
THE ARTE @ THOMSON,Condo,3.28,NA
THE ATRIA AT MEYER,Condo,3.39,NA
THE BALMORAL,Condo,NA,NA
THE BALMORAL,Condo,1.57,NA
THE BALMORAL,Condo,2.29,NA
THE BALMORAL,Condo,2.29,NA
THE BALMORAL SPRING,NA,NA,NA
THE BALMORAL SPRING,NA,3.81,NA
THE BALMORAL SPRING,NA,4,NA
THE BALMORAL SPRING,NA,NA,NA
THE BAYSHORE,Condo,3.05,NA
THE BAYSHORE,Condo,2.77,NA
THE BAYSHORE,Condo,2.65,NA
THE BAYSHORE,Condo,3.18,NA
THE BEACON,NA,4.71,NA
THE BEAUMONT,Condo,3.06,NA
THE BELVEDERE,Condo,NA,NA
THE BENCOOLEN,NA,3.87,NA
THE BENCOOLEN,NA,3.04,NA
THE BENCOOLEN,NA,3.5,NA
THE BENCOOLEN,NA,3.87,NA
THE BENCOOLEN,NA,4.12,NA
THE BENCOOLEN,NA,3.04,NA
THE BLOSSOMVALE,Condo,2.8,NA
THE BOUTIQ,NA,5.17,NA
THE BOUTIQ,NA,4.93,NA
THE CAPE,NA,5.26,NA
THE BENCOOLEN,NA,3.87,NA
THE BENCOOLEN,NA,3.04,NA
THE BENCOOLEN,NA,3.5,NA
THE BENCOOLEN,NA,3.87,NA
THE BENCOOLEN,NA,4.12,NA
THE BENCOOLEN,NA,3.04,NA
THE BLOSSOMVALE,Condo,2.8,NA
THE BOUTIQ,NA,5.17,NA
THE BOUTIQ,NA,4.93,NA
THE CAPE,NA,5.26,NA
THE CAPE,NA,4.88,NA
THE CAPE,NA,5.26,NA
THE CASCADIA,Condo,2.25,NA
THE CATHAY RESIDENCES,NA,4.53,NA
THE CENTRIS,NA,3.33,NA
THE CENTRIS,NA,3.46,NA
THE CLAYMORE,Condo,3.92,NA
THE CLAYMORE,Condo,4.07,NA
THE CLAYMORE,Condo,4.03,NA
THE CLAYMORE,Condo,4.1,NA
THE CLIFT,NA,6.06,NA
THE CLIFT,NA,6.58,NA
THE CLIFT,NA,6.04,NA
THE CLIFT,NA,6.92,NA
THE CLIFT,NA,5.79,NA
THE COLONNADE,NA,3.5,NA
THE COLONNADE,NA,3.79,NA
THE COLONNADE,NA,3.75,NA
THE COLONNADE,NA,4.31,NA
THE CORNWALL,Condo,4.12,NA
THE CLIFT,NA,6.06,NA
THE CLIFT,NA,6.58,NA
THE CLIFT,NA,6.04,NA
THE CLIFT,NA,6.92,NA
THE CLIFT,NA,5.79,NA
THE COLONNADE,NA,3.5,NA
THE COLONNADE,NA,3.79,NA
THE COLONNADE,NA,3.75,NA
THE COLONNADE,NA,4.31,NA
THE CORNWALL,Condo,4.12,NA
THE CORNWALL,Condo,4.69,NA
THE DEW,Condo,1.71,NA
THE FORD @ HOLLAND,Condo,2.52,NA
THE FORD @ HOLLAND,Condo,6.6,NA
THE FORESTA @ MOUNT FABER,Condo,4.72,NA
THE FORESTA @ MOUNT FABER,Condo,5.81,NA
THE HOLLAND COLLECTION,NA,2.61,NA
THE INTERLACE,Condo,4.96,NA
THE INTERLACE,Condo,3.83,NA
THE JADE,Condo,2.96,NA
THE JADE,Condo,2.62,NA
THE LAKEFRONT RESIDENCES,Condo,3.1,NA
THE LAKEFRONT RESIDENCES,Condo,3.29,NA
THE LAKEFRONT RESIDENCES,Condo,4.02,NA
THE LAKEFRONT RESIDENCES,Condo,3.3,NA
THE LAKEFRONT RESIDENCES,Condo,3.29,NA
THE LAURELS,Condo,5.89,NA
THE LAURELS,Condo,6.19,NA
THE LEGACY,NA,3.27,NA
THE LEGEND,Condo,3.11,NA
THE JADE,Condo,2.62,NA
THE LAKEFRONT RESIDENCES,Condo,3.1,NA
THE LAKEFRONT RESIDENCES,Condo,3.29,NA
THE LAKEFRONT RESIDENCES,Condo,4.02,NA
THE LAKEFRONT RESIDENCES,Condo,3.3,NA
THE LAKEFRONT RESIDENCES,Condo,3.29,NA
THE LAURELS,Condo,5.89,NA
THE LAURELS,Condo,6.19,NA
THE LEGACY,NA,3.27,NA
THE LEGEND,Condo,3.11,NA
THE LINC,NA,3.59,NA
THE LUMIERE,Condo,4.33,NA
THE MAKENA,Condo,3.25,NA
THE MARBELLA,Condo,3.57,NA
THE MERCURY,NA,4.72,NA
THE METROPOLITAN,Condo,3.69,NA
THE METROPOLITAN,Condo,5.41,NA
THE METROPOLITAN,Condo,5.75,NA
THE METROPOLITAN,Condo,3.75,NA
THE METZ,Condo,6.71,NA
THE METZ,Condo,6.71,NA
THE METZ,Condo,6.54,NA
THE METZ,Condo,6.71,NA
THE METZ,Condo,6.02,NA
THE METZ,Condo,6.32,NA
THE METZ,Condo,5.67,NA
THE METZ,Condo,6.71,NA
THE MINTON,Condo,2.7,NA
THE MONTANA,NA,3.61,NA
THE OLIV,NA,NA,NA
THE METZ,Condo,6.71,NA
THE METZ,Condo,6.54,NA
THE METZ,Condo,6.71,NA
THE METZ,Condo,6.02,NA
THE METZ,Condo,6.32,NA
THE METZ,Condo,5.67,NA
THE METZ,Condo,6.71,NA
THE MINTON,Condo,2.7,NA
THE MONTANA,NA,3.61,NA
THE OLIV,NA,NA,NA
THE OLIV,NA,NA,NA
THE ORIENT,NA,4.04,NA
THE PALLADIUM,NA,2.78,NA
THE PANORAMA,Condo,3.26,NA
THE PARC CONDOMINIUM,Condo,3.16,NA
THE PARC CONDOMINIUM,Condo,3.3,NA
THE PARC CONDOMINIUM,Condo,3.16,NA
THE PARC CONDOMINIUM,Condo,3.07,NA
THE PARC CONDOMINIUM,Condo,3.16,NA
THE PARC CONDOMINIUM,Condo,3.07,NA
THE PATERSON EDGE,NA,3.9,NA
THE PATERSON EDGE,NA,4.06,NA
THE PEAK @ BALMEG,Condo,4.04,NA
THE PEAK @ BALMEG,Condo,3.18,NA
THE PEAK @ BALMEG,Condo,3.34,NA
THE PEAK @ CAIRNHILL I,NA,5.69,NA
THE PEAK @ CAIRNHILL II,NA,4.42,NA
THE PETALS,Condo,2.58,NA
THE PIER @ ROBERTSON,NA,5.02,NA
THE PIER @ ROBERTSON,NA,5.01,NA
THE PATERSON EDGE,NA,3.9,NA
THE PATERSON EDGE,NA,4.06,NA
THE PEAK @ BALMEG,Condo,4.04,NA
THE PEAK @ BALMEG,Condo,3.18,NA
THE PEAK @ BALMEG,Condo,3.34,NA
THE PEAK @ CAIRNHILL I,NA,5.69,NA
THE PEAK @ CAIRNHILL II,NA,4.42,NA
THE PETALS,Condo,2.58,NA
THE PIER @ ROBERTSON,NA,5.02,NA
THE PIER @ ROBERTSON,NA,5.01,NA
THE PIER @ ROBERTSON,NA,NA,NA
THE PINNACLE @ DUXTON,NA,3.3,NA
THE PINNACLE @ DUXTON,NA,3,NA
THE POIZ RESIDENCES,Condo,4.27,NA
THE POIZ RESIDENCES,Condo,4.74,NA
THE POIZ RESIDENCES,Condo,4.52,NA
THE POIZ RESIDENCES,Condo,4.83,NA
THE POIZ RESIDENCES,Condo,3.39,NA
THE POIZ RESIDENCES,Condo,5.67,NA
THE REGALIA,NA,3.29,NA
THE REGENCY AT TIONG BAHRU,Condo,4.44,NA
THE RISE @ OXLEY RESIDENCES,NA,5.25,NA
THE RIVERINE BY THE PARK,NA,3.5,NA
THE SAIL @ MARINA BAY,NA,NA,NA
THE SAIL @ MARINA BAY,NA,4.58,NA
THE SAIL @ MARINA BAY,NA,5.37,NA
THE SAIL @ MARINA BAY,NA,NA,NA
THE SAIL @ MARINA BAY,NA,NA,NA
THE SAIL @ MARINA BAY,NA,4.75,NA
THE SAIL @ MARINA BAY,NA,4.72,NA
THE REGENCY AT TIONG BAHRU,Condo,4.44,NA
THE RISE @ OXLEY RESIDENCES,NA,5.25,NA
THE RIVERINE BY THE PARK,NA,3.5,NA
THE SAIL @ MARINA BAY,NA,NA,NA
THE SAIL @ MARINA BAY,NA,4.58,NA
THE SAIL @ MARINA BAY,NA,5.37,NA
THE SAIL @ MARINA BAY,NA,NA,NA
THE SAIL @ MARINA BAY,NA,NA,NA
THE SAIL @ MARINA BAY,NA,4.75,NA
THE SAIL @ MARINA BAY,NA,4.72,NA
THE SAIL @ MARINA BAY,NA,4.19,NA
THE SAIL @ MARINA BAY,NA,5.34,NA
THE SAIL @ MARINA BAY,NA,7.6,NA
THE SAIL @ MARINA BAY,NA,5.81,NA
THE SAIL @ MARINA BAY,NA,5.2,NA
THE SAIL @ MARINA BAY,NA,5.04,NA
THE SCOTTS TOWER,NA,7.91,NA
THE SCOTTS TOWER,NA,5.88,NA
THE SEAVIEW,Condo,NA,NA
THE SEAWIND,NA,NA,NA
THE SHORE RESIDENCES,Condo,4.36,NA
THE SHORE RESIDENCES,Condo,4.9,NA
THE SHORE RESIDENCES,Condo,4.56,NA
THE SIERRA,NA,3.57,NA
THE SIERRA,NA,4,NA
THE SIERRA,NA,3.57,NA
THE SKYWOODS,Condo,3.61,NA
THE SOUND,NA,3.92,NA
THE STELLAR,Condo,3.5,NA
THE SUITES @ CENTRAL,Condo,7.56,NA
THE SHORE RESIDENCES,Condo,4.36,NA
THE SHORE RESIDENCES,Condo,4.9,NA
THE SHORE RESIDENCES,Condo,4.56,NA
THE SIERRA,NA,3.57,NA
THE SIERRA,NA,4,NA
THE SIERRA,NA,3.57,NA
THE SKYWOODS,Condo,3.61,NA
THE SOUND,NA,3.92,NA
THE STELLAR,Condo,3.5,NA
THE SUITES @ CENTRAL,Condo,7.56,NA
THE SUITES @ CENTRAL,Condo,6.3,NA
THE SUNNY SPRING,NA,NA,NA
THE SUNNY SPRING,NA,NA,NA
THE SUNSHINE,NA,2.49,NA
THE TATE RESIDENCES,Condo,5.33,NA
THE TENNERY,Condo,3.48,NA
THE TENNERY,Condo,3.48,NA
THE TRIZON,Condo,3.94,NA
THE TRIZON,Condo,3.94,NA
THE TRIZON,Condo,3.88,NA
THE TRIZON,Condo,3.54,NA
THE TRIZON,Condo,3.35,NA
THE TRIZON,Condo,4.04,NA
