condo_name,top_year,km_mrt
GOODWOOD RESIDENCE,2013,0.42 - NEWTON
GRAMERCY PARK,2016,
GRAND CHATEAU,1997,0.85 - BEAUTY WORLD
GRAND DUCHESS AT ST PATRICK,2009,1.44 - KEMBANGAN
GRAND REGALIA,2004,
GRAND REGENCY,2000,
GRAND RESIDENCE,2006,
GRAND TOWER,1978,
GRANDE VISTA,1993,
GRANDEUR 8,2005,0.66 - ANG MO KIO
GRANDIOSO 8,2015,
GRANDLINK SQUARE,1998,
GRANGE 120,2000,0.83 - ORCHARD
GRANGE 70,1999,0.58 - ORCHARD
GRANGE 80,2000,0.64 - ORCHARD
GRANGE HEIGHTS,1976,0.41 - SOMERSET
GRANGE INFINITE,2011,
GRANGE RESIDENCES,2004,0.98 - ORCHARD
GREEN COURT,1986,
GREEN LODGE,1984,0.67 - BEAUTY WORLD
GREENRIDGE,1987,
GROSVENOR VIEW,2005,
GRYPHON TERRACE,1996,
GUAN SOON TERRACE,1991,
GUILIN COURT,1995,
GUILIN MANSIONS,1994,
GUILIN VIEW,2000,0.33 - BUKIT GOMBAK
GUILLEMARD EDGE,2017,
GUILLEMARD SUITES,2017,
GUILLEMARD VIEW,1994,
H RESIDENCES,2015,
H2O RESIDENCES,2015,
HACIENDA GROVE,1994,
HAIG 162,2013,1.06 - DAKOTA
HAIG COURT,2004,1.02 - DAKOTA
HAIG ELEVEN,2006,
HAIG LODGE,2000,
HAIG RESIDENCES,2012,
HAIG TEN,2002,
HAIGSVILLE,2004,
HALLMARK RESIDENCES,2015,
HANA,2014,0.71 - ORCHARD
HARBOUR SUITES,2014,
HARBOUR VIEW GARDENS,1985,
HARBOUR VIEW TOWERS,1994,0.26 - TELOK BLANGAH
HARBOURLIGHTS,1997,0.08 - HARBOURFRONT
HARBOURSIDE APARTMENTS,1997,
HARMONY @ 1A,2007,
HARMONY MANSION,1984,
HARVEST MANSIONS,1999,0.68 - TIONG BAHRU
HARVEY VIEW,1991,
HAWAII TOWER,1984,1.29 - MOUNTBATTEN
HAZEL PARK CONDOMINIUM,2001,0.27 - CASHEW
HAZEL PARK TERRACE,1998,
HEDGES PARK CONDOMINIUM,2014,
HELIOS RESIDENCES,2011,0.64 - NEWTON
HENLEY GARDENS,2005,
HERITAGE APARTMENTS,1994,0.63 - ORCHARD
HERITAGE EAST,2012,
HERITAGE PLACE,1999,0.27 - BUGIS
HERITAGE RESIDENCES,2008,
HERITAGE VIEW,2000,0.61 - ONE NORTH
HERON BAY,2016,
HERTFORD COLLECTION,2013,
HERTFORD MANSION,1976,
HIGH OAK,2000,0.53 - BEAUTY WORLD
HIGH PARK RESIDENCES,2020,
HIGH POINT,1973,0.52 - NEWTON
HIGH STREET CENTRE,1969,0.29 - CLARKE QUAY
HIGHGATE CONDO,1995,1.24 - BEAUTY WORLD
HIGHGATE PARK,1993,
HIGHLAND CONDO,1993,
HIGHLAND RESIDENCES,2006,
HIGHLINE RESIDENCES,2018,
HIJAUAN,2015,
HILBRE 28,2018,
HILLBROOKS,1999,0.69 - HILLVIEW
HILLCREST ARCADIA,1980,1.03 - TAN KAH KEE
HILLCREST VILLA,2010,0.34 - TAN KAH KEE
HILLINGTON GREEN,2003,0.35 - HILLVIEW
HILLION RESIDENCES,2016,
HILLS APARTMENT,2006,
HILLS TWOONE,2019,
HILLSIDE MANSIONS,1993,0.88 - KOVAN
HILLSTA,2017,
HILLTOP GROVE,2002,0.83 - BUKIT GOMBAK
HILLTOPS,2011,0.56 - NEWTON
HILLVIEW 128,2001,0.95 - HILLVIEW
HILLVIEW APARTMENTS,1998,
HILLVIEW GREEN,1998,
HILLVIEW HEIGHTS,1996,0.28 - HILLVIEW
HILLVIEW PARK,1995,0.33 - HILLVIEW
HILLVIEW REGENCY,2005,1.06 - BUKIT BATOK
HILLVIEW RESIDENCE,2003,
HILLVIEW VILLAS,1993,
HILLVISTA,2013,
HOLLAND 100,2011,
HOLLAND GREEN,1998,
HOLLAND GROVE PARK,1997,
HOLLAND HILL PARK,1992,
HOLLAND MEWS,2004,0.9 - FARRER ROAD
HOLLAND PEAK,1994,0.64 - HOLLAND VILLAGE
HOLLAND RESIDENCES,2012,0.44 - HOLLAND VILLAGE
HOLLAND TOWER,1976,
HOLLANDIA,1985,
HOLT RESIDENCES,2001,0.86 - TIONG BAHRU
HOMES AT EASTWOOD PLACE,1999,
HOMES AT HOLLAND PARK,2007,
HOMEY GARDENS,2004,
HONG HENG GARDEN,1987,
HONG HENG MANSION,1996,
HONOLULU TOWER,1985,0.6 - STEVENS
HORIZON GARDENS,2002,1.21 - YIO CHU KANG
HORIZON GREEN,2003,1.39 - YIO CHU KANG
HORIZON RESIDENCES,2014,
HORIZON TOWERS,1984,0.6 - SOMERSET
HOUGANG GREEN,1998,
HUA XIN COURT,1990,
HUME PARK I,1996,0.91 - HILLVIEW
HUME PARK II,1997,0.79 - HILLVIEW
HUNDRED TREES,2013,0.74 - CLEMENTI
I RESIDENCES,2011,
ICON,2007,0.21 - TANJONG PAGAR
ICON @ PASIR PANJANG,2018,
IDYLLIC EAST,2011,
IDYLLIC RESIDENCES,2009,1.14 - KEMBANGAN
IDYLLIC SUITES,2014,
ILIV @ GRANGE,2013,
ILLOURA,2011,
ILLUMINAIRE ON DEVONSHIRE,2011,0.2 - SOMERSET
IMPERIAL HEIGHTS,2009,
INFINIUM,2018,
INOVA 100,2008,
INTERNATIONAL PLAZA,1976,0.09 - TANJONG PAGAR
INTERO,2009,
IRIDIUM,2007,
ISLAND COUNTRY VILLAS,1999,
ISLAND VIEW,1984,
ISUITES @ MARSHALL,2013,
ISUITES @ PALM,2013,
ISUITES @ TANI,2012,
IVORY,2010,
IVORY HEIGHTS,1993,0.57 - JURONG EAST
J GATEWAY,2016,
JADE MANSION,1985,0.24 - HOLLAND VILLAGE
JADE RESIDENCES,2017,
JADE TOWERS,1979,
JANSEN 28,2000,
JANSEN 8,2011,
JANSEN MANSION,1990,
JANSEN SPRING,1997,
JARDIN,2012,0.39 - KING ALBERT PARK
JASMINE COURT,1985,
JC COURT,1999,
JC DRAYCOTT,1998,
JC RESIDENCE,2006,
JERSEY LODGE,2000,
JERVOIS GARDENS,1998,
JERVOIS JADE,2000,0.72 - TIONG BAHRU
JERVOIS LODGE,1997,0.89 - REDHILL
JERVOIS MANSIONS,1985,
JERVOIS REGENCY,2003,0.79 - REDHILL
JERVOIS VIEW,1986,
JEWEL @ BUANGKOK,2017,
JEWEL OF BALMORAL,2000,0.51 - STEVENS
JIA,2012,
JLB RESIDENCES,2008,
JOOL SUITES,2013,
JUBILEE RESIDENCE,2008,
JULUCA,2010,
JUNIPER AT ARDMORE,1991,0.61 - ORCHARD
JUPITER 18,2013,
KALLANG RIVERSIDE,2019,
KAP RESIDENCES,2018,
KASARA,2012,
KASTURINA LODGE,1999,
KATONG APARTMENTS,1996,
KATONG GARDENS,1984,
KATONG PARK TOWERS,1988,
KATONG REGENCY,2015,0.42 - PAYA LEBAR
KATONG VILLE,2003,
KELIVILLE,2006,0.9 - MARYMOUNT
KELLETT COURT,1997,0.52 - TAN KAH KEE
KELLOCK LODGE,1997,1.01 - TIONG BAHRU
KELULUT HILL,1998,
KEMAMAN POINT,1993,
KEMBANGAN COURT,1994,
KEMBANGAN PLAZA,1994,
KEMBANGAN SUITES,2011,
KEMBANGAN VILLAS,2004,
KENSINGTON PARK,1990,1.95 - LORONG CHUAN
KENSINGTON SQUARE,2017,
KENT RESIDENCES,2010,
KENTISH COURT,2000,
KENTISH GREEN,1999,
KENTISH LODGE,2000,
KENTVIEW PARK,1994,
KERRISDALE,2006,0.44 - FARRER PARK
KEW COTTAGE,1987,
KEW GATE,1997,0.7 - TANAH MERAH
KEW GREEN CONDO,1998,0.88 - SUNGEI BEDOK
KEW LODGE,1989,
KEW RESIDENCIA,1997,
KEW VALE,1997,
KHEAM HOCK GARDEN,1988,
KIARA TEN,2010,
KILAT COURT,1999,0.18 - BEAUTY WORLD
KILLINEY 118,2013,0.25 - SOMERSET
KIM KEAT GARDENS,2003,
KIM KEAT HOUSE,1999,
KIM KEAT LODGE,2000,1.05 - NOVENA
KING'S 8,2010,
KING'S MANSION,1980,
KINGSFORD . HILLVIEW PEAK,2016,
KINGSFORD WATERBAY,2018,
KINGSGROVE CONDO,1992,0.64 - LORONG CHUAN
KINGSTON TERRACE,1995,
KINGSVILLE,1999,
KISMIS COURT,1985,
KISMIS VIEW,1984,
KLASSIC COURT,2005,
KNOX VIEW,2004,1.21 - KEMBANGAN
KOVAN COURT,1981,
KOVAN ESQUIRE,1998,
KOVAN GRANDEUR,2012,
KOVAN LODGE,1995,
KOVAN MELODY,2006,0.23 - KOVAN
KOVAN PRIMERA,2005,
KOVAN REGENCY,2016,
KOVAN RESIDENCES,2011,
KOVANA,2007,
KUIE PONG LOFT,2013,
L'VIV,2014,0.45 - NEWTON
LA BELLE,2006,
LA BRISA,2012,
LA CASA,2009,
LA CRYSTAL,1996,0.46 - SOMERSET
LA DOLCE VITA,2012,
LA FIESTA,2017,
LA FLEUR,2015,
LA MAISON,2000,0.32 - NOVENA
LA MEYER,1994,1.21 - MOUNTBATTEN
LA NOUVELLE,2005,
LA SALLE VILLAS,2002,
LA SUISSE I,1994,1.63 - KING ALBERT PARK
LA SUISSE II,1994,1.37 - KING ALBERT PARK
LA SUISSE TERRACE,1992,
LA VIDA @ 130,2014,
LA VILLE,1987,0.77 - MOUNTBATTEN
LADYHILL PARK,1990,
LAGUNA 88 CONDO,2000,
LAGUNA GREEN,1998,1.35 - BEDOK
LAKE LIFE,2017,
LAKEHOLMZ,2005,0.59 - LAKESIDE
LAKEPOINT CONDO,1983,0.67 - LAKESIDE
LAKESHORE,2007,0.38 - LAKESIDE
LAKESIDE GROVE,1999,
LAKESIDE TOWERS,1981,
LAKEVILLE,2018,
LANDBAY CONDO,1999,1.36 - BEDOK
LANDMARK TOWER,1985,0.49 - CHINATOWN
LANDRIDGE CONDO,1993,0.74 - HAW PAR VILLA
LANGE 28,2008,
LANGSTON VILLE,1999,
LATITUDE,2010,
LAUREL TREE,2017,
LAVERNE'S LOFT,2014,
LE CONNEY PARK,1985,
LE CRESCENDO,2006,0.53 - TAI SENG
LE HILL CONDO,1998,
LE LOYANG,1994,
LE M RESIDENCE,2005,
LE MARICAN,2010,
LE MERRITT,2008,
LE NOUVEL ARDMORE,2015,
LE REGAL,2016,
LE REVE,2009,
LE ROYCE @ LEITH PARK,2006,
LE SHANTIER,1997,
LE SOMME,2017,
LE WILKIE,1996,
LE WOOD,2000,0.65 - BEAUTY WORLD
LEEDON 2,1997,0.16 - HOLLAND VILLAGE
LEEDON RESIDENCE,2015,
LEGEND @ JANSEN,2008,
LEGENDA @ JOO CHIAT,2005,
LEICESTER LODGE,2003,
LEICESTER SUITES,2013,
LEITH GROVE,2007,1.24 - KOVAN
LENTOR VIEW,1992,
LENTOR VILLAS,1998,
LEONIE CONDOTEL,1997,0.55 - SOMERSET
LEONIE GARDENS,1993,0.61 - ORCHARD
LEONIE HILL RESIDENCES,2005,0.63 - SOMERSET
LEONIE PARC VIEW,2009,0.45 - SOMERSET
LEONIE STUDIO,2006,0.56 - ORCHARD
LEONIE TOWERS,1975,0.75 - SOMERSET
LEVENUE,2016,
LEVILLE ISUITES,2016,
LIBERTE,2015,0.23 - NEWTON
LILAC PARK,1990,
LILYDALE,2003,1.72 - YISHUN
LIM TAI SEE WALK,1994,
LIMAU PARK,1991,0.55 - TANAH MERAH
LIMAU VILLAS,1998,
LINCOLN SUITES,2014,0.32 - NOVENA
LIRIA TERRACE,1998,
LIV ON SOPHIA,2018,
LIV ON WILKIE,2019,
LIVIA,2011,
LLOYD SIXTYFIVE,2016,
LLYN GARDENS,1991,
LOFT @ HOLLAND,2014,
LOFT @ NATHAN,2014,
LOFT @ RANGOON,2013,
LOFT @ STEVENS,2014,
LORNIE 18,2008,
LORNIE GARDENS,1993,
LOTUS VILLE,2017,
LOYANG COURT,1997,
LOYANG VALLEY,1985,2.25 - TAMPINES EAST
LOYANG VILLAS,1996,
LUCIDA,2011,
LUCKY TOWER,1981,0.8 - ORCHARD
LUMA,2010,
LUSH ACRES,2016,
LUSH ON HOLLAND HILL,2012,0.64 - HOLLAND VILLAGE
LUXE VILLE,2013,
LUXUS HILLS,2013,
LYNNSVILLE 331,2009,
LYNWOOD EIGHT,2010,
M21,2012,
M5,2017,
M66,2016,
MABELLE,2009,1.21 - KEMBANGAN
MACKENZIE 138,2006,0.28 - LITTLE INDIA
MACKENZIE 88,2009,0.21 - LITTLE INDIA
MACKENZIE MANSION,2006,
MACPHERSON GREEN,1983,
MADEIRA COURT,1996,
MADISON RESIDENCES,2012,0.48 - STEVENS
MALVERN SPRINGS,2004,1.52 - EUNOS
MANDALE HEIGHTS,2004,0.81 - NOVENA
MANDARIN GARDENS,1986,1.9 - BEDOK
MANHATTAN MANSIONS,1996,
MAPLEWOODS,1997,0.21 - KING ALBERT PARK
MARINA BAY RESIDENCES,2010,0.26 - DOWNTOWN
MARINA BAY SUITES,2013,0.12 - DOWNTOWN
MARINA COLLECTION,2011,3.03 - HARBOURFRONT
MARINA ONE,2018,
MARINE BLUE,2017,
MARINE POINT CONDOMINIUM,1985,
MARINE VIEW MANSIONS,1989,
MARLENE VILLE,2009,
MARSHALL LODGE,1996,
MARTIA 8,2002,
MARTIA RESIDENCE,2006,
MARTIN EDGE,2006,
MARTIN NO.38,2012,
MARTIN PLACE RESIDENCES,2011,
MARTINA MANSION,2000,
MARYMOUNT VIEW,1992,
MATLOCK RESIDENCES,2011,
MAYA,2007,1.29 - EUNOS
MAYFAIR GARDENS,1985,0.31 - KING ALBERT PARK
MAYFAIR RESIDENCES,2016,
MAYSPRINGS,1998,0.3 - BUKIT PANJANG
MEADOW LODGE,2005,
MEADOWS @ PEIRCE,2012,1.93 - YIO CHU KANG
MEDGE,2007,0.8 - NOVENA
MEIER SUITES,2012,
MELODY VILLAS,1993,
MELOSA,2015,
MELROSE PARK,2000,0.89 - TIONG BAHRU
MELROSE VILLE,2011,
MELVILLE PARK,1996,0.59 - UPPER CHANGI
MERA EAST,2007,
MERA GARDENS,1998,
MERA SPRINGS,2008,0.61 - NOVENA
MERA TERRACE,1997,
MERALODGE,1997,1.11 - HILLVIEW
MERAPRIME,2006,0.15 - TIONG BAHRU
MERAWOODS,1999,0.91 - BUKIT GOMBAK
MERGUI MANSIONS,1995,
MERIDIAN 38,2014,
METRO LOFT,2015,
MEYA LODGE,2005,
MEYER MELODIA,2017,
MEYER PARK,1985,
MEYER RESIDENCE,2009,
MI CASA,2012,0.43 - CHOA CHU KANG
MIA PLACE,1997,
MICHAELS' RESIDENCES,2016,
MIDTOWN RESIDENCES,2017,
MILFORD VILLAS,2009,
MILL CREEK,2012,
MILLPOINT,2004,0.85 - TIONG BAHRU
MIMOSA GARDENS,2005,
MIMOSA PARK,1979,1.94 - YIO CHU KANG
MIMOSA TERRACE,2000,
MIMOSA VILLAS,1987,
MINT RESIDENCES @ JANSEN,2008,
MIRAGE TOWER,1997,1.02 - SOMERSET
MIRO,2012,0.52 - NEWTON
MISTRAL PARK,1995,
MODA,2013,
MODENA,2002,0.2 - SIMEI
MON JERVOIS,2017,
MONARCHY APARTMENTS,1998,
MONT TIMAH,2011,
MONTCLAIR @ WHITLEY,2012,
MONTEBLEU,2010,0.79 - NOVENA
MONTEREY PARK,2006,1.3 - CLEMENTI
MONTROSA,1999,
MONTVIEW,2008,0.6 - DOVER
MOONSTONE RESIDENCES,2005,0.57 - POTONG PASIR
MOONSTONE ROYALE,2003,
MOONSTONE VIEW,2000,0.56 - POTONG PASIR
MORIMASA GARDENS,1993,0.43 - NEWTON
MOSELLA,2013,
MOULMEIN COURT,1981,
MOUNT FABER LODGE,1983,0.49 - HARBOURFRONT
MOUNT ROSIE GARDEN,1983,
MOUNT SINAI RESIDENCES,2011,
MOUNT SOPHIA SUITES,2010,0.39 - DHOBY GHAUT
MOUNTBATTEN LODGE,2000,
MOUNTBATTEN REGENCY,2007,
MOUNTBATTEN SUITES,2012,
MULBERRY TREE,2011,
MURANO,2009,
MUTIARA CREST,2000,0.94 - ORCHARD
MUTIARA VIEW,2000,1.01 - ORCHARD
MY MANHATTAN,2014,
NADIA MANSIONS,1985,
NASSIM JADE,1999,0.74 - ORCHARD
NASSIM MANSION,1977,1.38 - STEVENS
NASSIM PARK RESIDENCES,2011,
NASSIM REGENCY,1978,1.17 - STEVENS
NASSIM WOODS,1998,1.22 - ORCHARD
NATHAN PLACE,2006,1 - TIONG BAHRU
NATHAN RESIDENCES,2012,0.93 - TIONG BAHRU
NATHAN SUITES,2014,
NATURA @ HILLVIEW,2016,
NATURALIS,2011,
NATURE MANSIONS,2003,
NAUNG RESIDENCE,2015,
NEEM TREE,2020,
NEPTUNE COURT,1975,1.9 - KEMBANGAN
NESS,2015,
NEW COURT,2001,
NEWEST,2017,
NEWTON 18,2004,0.42 - NEWTON
NEWTON EDGE,2011,0.46 - NEWTON
NEWTON EURO-ASIA,2003,0.4 - NEWTON
NEWTON GEMS,2004,0.32 - NOVENA
NEWTON IMPERIAL,2011,
NEWTON ONE,2009,0.26 - NEWTON
NEWTON SUITES,2007,0.29 - NOVENA
NICOLE GREEN,2003,
NICON GARDENS,1999,
NIM GARDENS,1986,
NIN RESIDENCE,2014,0.17 - POTONG PASIR
NINE RESIDENCES,2017,
NINETEEN SHELFORD ROAD,1997,0.49 - BOTANIC GARDENS
NIVEN LOFT,2004,
NIVEN SUITES,2009,
NOMU,2008,0.21 - DHOBY GHAUT
NORMANTON PARK,1977,1.07 - KENT RIDGE
NORTH PARK RESIDENCES,2020,
NORTHOAKS,2001,0.83 - ADMIRALTY
NORTHSHORE BUNGALOWS,1995,
NORTHVALE,1998,0.16 - CHOA CHU KANG
NORTHWOOD CONDOMINIUM,2010,
NOTTINGHILL SUITES,2016,
NOUVEL 18,2014,0.93 - ORCHARD
NOUVELLE PARK,1994,1.17 - KOVAN
NOVA 48,2012,
NOVA 88,2012,
NOVELIS @ NOVENA,2008,
NOVENA LODGE,1998,0.54 - NOVENA
NOVENA REGENCY,2017,
NOVENA SUITES,2004,0.1 - NOVENA
NUOVO,2004,0.39 - YIO CHU KANG
NV RESIDENCES,2013,
OASIS @ ELIAS,2012,
OASIS @ MULBERRY,2006,
OASIS GARDEN,2009,
OCEAN 8,2010,
OCEAN FRONT SUITES,2016,
OCEAN PARK,1983,1.35 - KEMBANGAN
OEI TIONG HAM PARK RESIDENCES,2012,
OKIO RESIDENCES,2015,
OLA RESIDENCES @ MOUNTBATTEN,2012,
OLEANAS RESIDENCE,1999,0.59 - FORT CANNING
OLEANDER TOWERS,1998,0.46 - TOA PAYOH
OLINA LODGE,1990,0.64 - HOLLAND VILLAGE
ONAN SUITES,2013,
ONE @ PULASAN,2009,
ONE AMBER,2010,1.27 - DAKOTA
ONE BALMORAL,2017,
ONE CHATSWORTH,1976,
ONE CHILTERN,2006,
ONE DEVONSHIRE,2012,0.32 - SOMERSET
ONE DUCHESS,2018,
ONE DUSUN RESIDENCES,2017,
ONE EIGHTIES RESIDENCES,2015,
ONE FORT,2005,0.69 - MOUNTBATTEN
ONE JERVOIS,2009,0.76 - TIONG BAHRU
ONE K GREEN LANE,2005,
ONE LEICESTER,2009,0.26 - POTONG PASIR
ONE LYNWOOD,2008,0.81 - LORONG CHUAN
ONE MOUNT ROSIE,2008,0.84 - NOVENA
ONE NORTH RESIDENCES,2009,0.41 - ONE NORTH
ONE OXLEY RISE,2008,0.39 - DHOBY GHAUT
ONE ROBEY,2016,
ONE ROBIN,2009,
ONE ROSYTH,2011,
ONE SHENTON,2010,
ONE SURIN,2017,
ONE TREE HILL RESIDENCE,2008,
ONZE @ TANJONG PAGAR,2018,
OPAL SUITES,2014,
OPTIMA @ TANAH MERAH,2012,0.12 - TANAH MERAH
ORANGE GROVE RESIDENCES,2009,0.8 - STEVENS
ORANGE REGENCY,1997,0.93 - STEVENS
ORCHARD BEL-AIR,1984,0.79 - ORCHARD
ORCHARD PARKSUITES,1996,
ORCHARD SCOTTS,2007,0.22 - NEWTON
ORCHARD SCOTTS RESIDENCES,2007,
ORCHARD VIEW,2012,
ORCHID APARTMENTS,1981,
ORCHID PARK CONDO,1994,0.48 - KHATIB
ORION,2008,
OVADA 8,2002,
OXFORD SUITES,2011,
OXLEY EDGE,2016,
OXLEY GARDEN,1986,
PACIFIC MANSION,1976,0.61 - SOMERSET
PALAZZETTO,2003,0.77 - MOUNTBATTEN
PALISADES,1985,0.5 - HAW PAR VILLA
PALM GALLERIA,2010,
PALM GARDENS,2000,0.87 - CHOA CHU KANG
PALM GREEN,1999,1.67 - HAW PAR VILLA
PALM GROVE CONDO,2002,
PALM GROVE REGENCY,2008,
PALM GROVE TERRACE,1998,
PALM HAVEN,2003,
PALM ISLES,2015,
PALM LODGE,1992,
PALM LOFT,2009,
PALM MANSIONS,1998,0.93 - HAW PAR VILLA
PALM OASIS,2009,
PALM RESIDENCE,2005,
PALM SPRING,1998,0.74 - STEVENS
PALM TREE NINES,1993,
PALM VISTA,2010,
PALMERA EAST,2012,
PALMERA RESIDENCE,2011,
PALMS @ SIXTH AVENUE,2015,
PALMWOODS,1999,
PANDAN VALLEY,1979,1.01 - DOVER
PAPILLON,2004,0.69 - TOA PAYOH
PARADISE ISLAND,2009,
PARADISE PALMS,2003,0.65 - DAKOTA
PARBURY HILL,1998,1.13 - TANAH MERAH
PARC ASTON,2011,
PARC BLEU,2013,
PARC CENTENNIAL,2011,0.65 - NEWTON
PARC CENTROS,2016,
PARC ELEGANCE,2013,
PARC EMILY,2008,0.27 - LITTLE INDIA
PARC HAVEN,2005,0.96 - BOON KENG
PARC IMPERIAL,2010,0.24 - HAW PAR VILLA
PARC MACKENZIE,2009,
PARC MONDRIAN,2010,
PARC OASIS,1995,0.24 - CHINESE GARDEN
PARC OLYMPIA,2015,
PARC PALAIS,2000,0.55 - HILLVIEW
PARC REGENCY,2002,
PARC ROSEWOOD,2016,
PARC SEABREEZE,2012,1.76 - EUNOS
PARC SOMME,2012,
PARC SOPHIA,2013,
PARC STEVENS,2000,0.39 - STEVENS
PARC VERA,2015,
PARC VISTA,2000,0.47 - LAKESIDE
PARK COURT,1996,
PARK EAST,1994,0.88 - BEDOK
PARK GREEN,2005,0.8 - BUANGKOK
PARK INFINIA @ WEE NAM,2008,0.59 - NEWTON
PARK NATURA,2011,
PARK RESIDENCES KOVAN,2013,
PARK VILLAS,1998,
PARK WEST,1986,0.63 - CLEMENTI
PARKSHORE,1995,0.84 - STADIUM
PARKVIEW,1998,1.52 - BUKIT BATOK
PARKVIEW ECLAT,2010,
PARKWAY MANSION,1982,
PARKWAY VIEW,1992,
PARRY COURT,2005,
PARRY GREEN,1999,
PARRY PARK,1991,
PARRYVILLE,1990,
PARVIS,2012,0.6 - HOLLAND VILLAGE
PASADENA,2003,
PASIR PANJANG GARDENS,1985,
PASIR PANJANG LODGE,1995,
PASIR VIEW PARK,1994,
PASTORAL VIEW,1986,
PATERSON LINC,2010,
PATERSON RESIDENCE,2008,0.43 - ORCHARD
PATERSON SUITES,2010,
PAVILION 11 AT NOVENA,2009,0.71 - NOVENA
PAVILION PARK,2003,
PAVILION SQUARE,2016,
PAYA LEBAR RESIDENCES,2003,0.18 - PAYA LEBAR
PEACE MANSION,1976,
PEAK COURT CONDO,1983,
PEARL BANK APARTMENTS,1974,
PEARL ISLAND,2013,
PEBBLE BAY,1997,0.69 - STADIUM
PEIRCE VIEW,1996,
PEIRCE VILLAS,1997,
PEOPLE'S PARK CENTRE,1974,
PEOPLE'S PARK COMPLEX,1970,
PEPPERMINT GROVE,1997,
PEPYS HILL CONDO,1988,0.24 - PASIR PANJANG
PETAIN COURT,1994,
PHILLIPS RESIDENCE,2008,
PINE GROVE,1984,1.03 - DOVER
PINE SPRINGS,1998,0.78 - STEVENS
PINEHURST CONDO,1993,
PINETREE CONDO,1996,0.68 - STEVENS
PINEVALE,2000,
PINEWOOD GARDENS,1990,0.61 - STEVENS
PINEWOOD TERRACE,1998,
PINNACLE 16,2006,0.59 - NOVENA
PLATINUM EDGE,2007,
POETS VILLAS,2015,
POH HENG COURT,1989,
POH HUAT GARDENS,1989,
POINT LOMA,1984,
POLLEN & BLEU,2018,
POSHGROVE EAST,2008,
PRESIDIO,2009,
PRESTIGE HEIGHTS,2013,
PRESTIGE LOFT,2010,
PRESTIGE POINT,2018,
PRESTIGE RESIDENCE,2008,
PRIME RESIDENCE,2014,
PRIMEDGE,2017,
PRIMO RESIDENCES,2013,
PRINCETON VALE,2001,
PRINCIPAL GARDEN,2019,
PRISTINE HEIGHTS,2008,0.53 - FARRER PARK
PRIVE,2017,
PROSPERO VILLE,2001,
PROXIMO ROBINA,2005,0.41 - STEVENS
Q BAY RESIDENCES,2017,
QUBE SUITES,2017,
QUEENS,2002,0.23 - QUEENSTOWN
QUEENS PEAK,2020,
QUEENSBERRY LODGE,2003,0.99 - TIONG BAHRU
QUESTA @ DUNMAN,2013,0.79 - DAKOTA
QUINTERRA,2009,
R MAISON,2016,
R66 APARTMENTS,2007,
RACE COURSE 138,2004,
RACE COURSE MANSION,2005,
RADIANCE @ BUKIT TIMAH,2010,
RADIX,2007,
RAFFLESIA CONDO,2002,0.44 - MARYMOUNT
RAINTREE VALLEY,1991,
RAJAH TOWER,1984,
RANGOON 88,2014,
RANGOON APARTMENTS,1997,
RANGOON COURT,2003,
REFLECTIONS AT KEPPEL BAY,2011,
REGAL 35,2004,0.63 - PAYA LEBAR
REGAL COURT,1997,1.08 - TOA PAYOH
REGENCY LODGE,1998,1.05 - TIONG BAHRU
REGENCY PARK,1990,1.07 - ORCHARD
REGENCY SUITES,2008,
REGENT GROVE,2000,0.28 - YEW TEE
REGENT HEIGHTS,2000,0.78 - BUKIT BATOK
REGENT PARK,1998,0.54 - CLEMENTI
REGENT RESIDENCES,2016,
REGENT VILLA,1993,
REGENTVILLE,2000,1.59 - HOUGANG
REGIS MANSIONS,1997,
REIGNWOOD HAMILTON SCOTTS,2012,0.24 - NEWTON
RESERVOIR VILLAS,1998,
RESIDENCE 118,2006,
RESIDENCE 66,2008,
RESIDENCE 8,2001,
RESIDENCES 88,2013,
RESIDENCES @ EVELYN,2007,0.41 - NEWTON
RESIDENCES @ HUA GUAN,2008,
RESIDENCES @ JANSEN,2008,
RESIDENCES @ KILLINEY,2013,0.36 - SOMERSET
RESIDENCES @ LIMAU,2007,
RESIDENCES @ SOMME,2008,0.52 - BENDEMEER
RESIDENCES @ STANGEE,2010,
RESIDENCES AT 338A,2004,0.44 - SOMERSET
RESIDENCES AT EMERALD HILL,2012,
RESIDENCES BOTANIQUE,2012,
RESIDENCY AT MOUNT SOPHIA,1996,0.43 - DHOBY GHAUT
REZI 26,2015,
REZI 3TWO,2017,
RHAPSODY ON MOUNT ELIZABETH,2010,0.58 - ORCHARD
RIA APTS,2012,
RIA TOWNHOUSES,2009,
RICCHEZZA,2009,
RICH EAST GARDEN,1983,1.34 - BEDOK
RICH MANSION,1994,
RICHMOND PARK,1996,0.52 - ORCHARD
RIDGE COURT,2003,
RIDGEWOOD CONDO,1977,0.63 - DOVER
RINDU TERRACE,1995,
RIO GARDENS,2006,0.77 - POTONG PASIR
RIO VISTA,2004,1.07 - HOUGANG
RIPPLE BAY,2015,1.37 - PASIR RIS
RIS GRANDEUR,2006,0.99 - PASIR RIS
RISING SUITES,1998,
RITZ @ FARRER,2016,
RITZ MANSIONS,1995,
RITZ REGENCY,2010,
RIVA LODGE,1995,
RIVAGE,2009,
RIVER ISLES,2016,
RIVER PLACE,2000,0.54 - FORT CANNING
RIVER VALLEY COURT,1995,
RIVERBANK @ FERNVALE,2018,
