condo_name,top_year,km_mrt
BEAVERTON COURT,1984,0.56 - DOVER
BEDOK COURT,1985,0.65 - TANAH MERAH
BEDOK RESIDENCES,2015,
BEDOK RIA,1993,
BEECHWOOD TERRACE,1998,
BELGRAVIA PARK,1995,
BELGRAVIA VILLAS,2018,
BELLA CASITA,2013,
BELLA VISTA,2009,
BELLAVILLE,2011,
BELLE VUE RESIDENCES,2010,
BELLERIVE,2012,
BELLEWATERS,2017,
BELLEWOODS,2017,
BELLEZZA @ KATONG,2008,1.4 - DAKOTA
BELMOND GREEN,2004,0.77 - NEWTON
BELMONDO VIEW,2003,
BELYSA,2014,
BERKELEY RESIDENCES,2015,
BEVERLY HILL,1983,0.88 - ORCHARD
BIJOU,2018,
BINJAI CREST,2004,1.09 - KING ALBERT PARK
BIRCHWOOD MANSIONS,1991,
BIRMINGHAM MANSIONS,1998,0.22 - NOVENA
BISHAN 8,2000,0.25 - BISHAN
BISHAN LOFT,2004,0.61 - BISHAN
BISHAN PARK CONDO,1994,2.05 - MARYMOUNT
BISHAN POINT,2005,1.4 - MARYMOUNT
BISHOPSGATE RESIDENCES,2012,
BLEU @ EAST COAST,2010,
BLISS @ KOVAN,2014,
BLISS LOFT,2014,
BLISS REGALIA,2009,
BLISS RESIDENCES,2008,
BLISS VILLE,2010,
BLISSFUL VIEW,1998,0.85 - HOLLAND VILLAGE
BLOSSOM MANSIONS,1995,
BLOSSOM RESIDENCES,2014,
BLOSSOM VIEW,1998,
BLOSSOMS @ WOODLEIGH,2007,0.36 - WOODLEIGH
BLU CORAL,2011,0.94 - KEMBANGAN
BLUE HORIZON,2005,1.94 - CLEMENTI
BLUWATERS,2007,
BLUWATERS 2,2010,1.79 - PASIR RIS
BOATHOUSE RESIDENCES,2015,
BOON COURT,1977,
BOON TECK APARTMENTS,1991,
BOON TECK LODGE,1993,
BOON TECK TOWER,1984,
BOONVIEW,2003,0.35 - MARYMOUNT
BOTANIC GARDENS VIEW,1970,1.5 - STEVENS
BOTANIKA,2009,0.86 - FARRER ROAD
BOTANIQUE AT BARTLEY,2018,
BOTANNIA,2009,1.29 - CLEMENTI
BOUGAINVILLA APARTMENTS,1998,
BOULEVARD VUE,2014,
BOURNEMOUTH EIGHT,1997,
BRADDELL PARK,1984,
BRADDELL VIEW,1981,0.55 - CALDECOTT
BRENTWOOD VILLAS,2005,
BRIGHT BUILDING,1979,
BRIGHTON CREST,2003,
BRIGHTON VIEW,1985,
BRISTOL LODGE,1992,
BROOKS COLLECTION @ SPRINGSIDE,2015,
BROOKVALE PARK,1983,1.5 - BEAUTY WORLD
BUCKLEY 18,2009,
BUCKLEY CLASSIQUE,2014,
BUCKLEY RESIDENCE,2008,0.49 - NOVENA
BUKIT REGENCY,1995,
BUKIT VIEW,1999,
BUKIT VILLAS,2009,
BULLION PARK,1993,1.35 - YIO CHU KANG
BUONA LODGE,1992,
BUONA VISTA GARDENS,1989,
BURGUNDY HILL,1999,
BURLINGTON SQUARE,1998,0.19 - ROCHOR
BUTTERWORTH 33,2006,
BUTTERWORTH 8,2004,0.71 - PAYA LEBAR
BUTTERWORTH VIEW,1999,0.65 - PAYA LEBAR
CABANA,2013,1.34 - YIO CHU KANG
CADENCE LIGHT,2007,
CAIRNHILL CREST,2005,0.58 - SOMERSET
CAIRNHILL HEIGHTS,1990,0.42 - NEWTON
CAIRNHILL MANSION,1963,
CAIRNHILL NINE,2016,0.39 - SOMERSET
CAIRNHILL PLAZA,1978,0.64 - ORCHARD
CAIRNHILL RESIDENCES,2010,0.49 - NEWTON
CALARASI,2004,0.94 - BOON KENG
CALLIDORA VILLE,2009,
CAMBIO SUITES,2016,
CAMBRIDGE VILLAGE,1983,
CAMDEN PARK,1989,
CAMELIA PARK,1984,
CAMELLIA LODGE,1998,0.44 - ALJUNIED
CAMELODGE,1998,
CAMELOT,2001,0.57 - STADIUM
CAMWOOD PARK,1989,
CANARY PARK,1992,
CANBERLIN LODGE,2001,
CANBERRA RESIDENCES,2013,
CANNAVILLE,1993,
CANNE LODGE,2000,
CANTIZ @ RAMBAI,2010,
CAPE ROYALE,2013,
CARABELLE,2009,1.08 - CLEMENTI
CARDIFF RESIDENCE,2015,
CARIBBEAN AT KEPPEL BAY,2004,0.76 - HARBOURFRONT
CARISSA PARK,2003,1.15 - TAMPINES EAST
CARLYX GREEN,2009,
CARLYX RESIDENCE,2006,0.7 - FARRER PARK
CASA AERATA,2014,
CASA AROMA,2003,
CASA CAIRNHILL,1991,0.52 - NEWTON
CASA CAMBIO,2014,
CASA CONTENDERE,1986,0.6 - NEWTON
CASA EMERALD,2002,
CASA ESPANIA,1992,
CASA ESPERANZA,1992,0.11 - KING ALBERT PARK
CASA FIDELIO,1991,
CASA FLORA,1987,
CASA FORTUNA,2012,
CASA IRRAWADDY,1995,
CASA JERVOIS,1990,0.61 - REDHILL
CASA MERAH,2009,0.22 - TANAH MERAH
CASA MEYA,2011,
CASA MEYFORT,1992,1.4 - DAKOTA
CASA NOVACREST,1999,0.36 - NEWTON
CASA PASIR RIS,1997,
CASA RIVIERA,1999,0.65 - SERANGOON
CASA ROSA CONDO,2001,0.43 - BARTLEY
CASA SARINA,1998,
CASABELLA,2006,0.81 - SIXTH AVENUE
CASABLANCA,2006,0.74 - WOODLANDS
CASAFINA,2000,0.99 - BEDOK
CASCADALE,1994,0.51 - UPPER CHANGI
CASCATA,2005,
CASERO @ DUNMAN,2008,
CASHEW HEIGHTS,1992,
CASHEW PARK CONDO,1983,
CASHEW VILLAS,2006,
CASPIAN,2012,
CASSIA EDGE,2018,
CASSIA VIEW,2001,
CASTLE GREEN,1997,0.71 - YIO CHU KANG
CASTLE LOFT,1996,
CASUARINA COVE,1996,0.58 - STADIUM
CAVAN SUITES,2013,
CAVENAGH COURT,1971,
CAVENAGH GARDENS,1975,0.64 - SOMERSET
CAVENAGH HOUSE,1971,0.57 - NEWTON
CAVENAGH LODGE,1996,
CAVENDISH PARK,1996,0.67 - DOVER
CELADON VIEW,1999,
CELESTIA,2010,
CENTENNIA SUITES,2014,
CENTRA HEIGHTS,2014,
CENTRA LOFT,2014,
CENTRA RESIDENCE,2017,
CENTRA STUDIOS,2014,
CENTRA SUITES,2013,
CENTRAL GREEN,1995,0.2 - TIONG BAHRU
CENTRAL GROVE,2001,0.19 - ALJUNIED
CENTRAL IMPERIAL,2015,
CENTRAL MEADOWS,2003,
CENTRAL SQUARE APARTMENTS,1999,
CENTRAL VIEW,2005,0.67 - SERANGOON
CENTRINA,2013,
CENTRO RESIDENCES,2014,0.09 - ANG MO KIO
CENTURION 12,2008,0.98 - MARYMOUNT
CENTURION RESIDENCES,2010,
CENTURY MANSIONS,1998,
CERELIA VISTA,2013,
CEYLON CREST,2006,
CEYLON POINT,2014,
CEYLON RESIDENCE,2012,
CHANCERY COURT,1981,0.47 - NEWTON
CHANCERY ESQUIRE,1996,
CHANCERY GROVE,1996,0.84 - NOVENA
CHANCERY HILL VILLAS,2017,
CHANCERY PARK,1991,0.77 - NEWTON
CHANGI COURT,1997,0.18 - UPPER CHANGI
CHANGI GARDEN,1980,
CHANGI GREEN,2001,0.42 - UPPER CHANGI
CHANGI HEIGHTS,2002,
CHANGI RISE,2004,0.75 - UPPER CHANGI
CHANTILLY RISE,1999,
CHAPEL COURT,1997,
CHAPEL LODGE,1997,
CHARISMA VIEW,2003,
CHARLESTON,2002,1.01 - TIONG BAHRU
CHARLTON 18,2017,
CHARLTON 27,2019,
CHARLTON RESIDENCES,2014,
CHARLTON VILLAS,2011,
CHARMING GARDENS,1984,
CHATEAU ELIZA,1992,
CHATEAU LA SALLE,2010,
CHATEAU LE FAME,1997,0.54 - STEVENS
CHATELET CONDO,1993,0.19 - STEVENS
CHELSEA GARDENS,2000,0.8 - STEVENS
CHELSEA GROVE,2007,0.91 - NOVENA
CHELSEA LODGE,2000,
CHELSEA VILLAGE,1991,
CHEPSTOW VILLE,2010,
CHERRY GARDENS,2004,0.57 - SERANGOON
CHERRY LOFT,2008,
CHERRYHILL,1994,0.53 - SERANGOON
CHESTER PARK,1991,
CHESTERVALE,1997,1.48 - BUKIT PANJANG
