"","name","type","rent","date"
"2149","ICON","NA","3.74",NA
"2150","KALLANG RIVERSIDE","Condo","4.82",NA
"2151","KALLANG RIVERSIDE","Condo","5.8",NA
"2152","KATONG REGENCY","Condo","3.33",NA
"2153","KATONG REGENCY","Condo","3.57",NA
"2154","KELLOCK LODGE","NA","2.85",NA
"2155","KENSINGTON SQUARE","Condo","6.39",NA
"2156","KOVAN REGENCY","Condo","3.18",NA
"2157","LE CRESCENDO","Condo","2.39",NA
"2158","LEONIE SUITES","NA","4.59",NA
"2159","LIBERTE","NA","4.45",NA
"2160","LLOYD MANSION","NA","2.87",NA
"2161","KALLANG RIVERSIDE","Condo","5.8",NA
"2162","KATONG REGENCY","Condo","3.33",NA
"2163","KATONG REGENCY","Condo","3.57",NA
"2164","KELLOCK LODGE","NA","2.85",NA
"2165","KENSINGTON SQUARE","Condo","6.39",NA
"2166","KOVAN REGENCY","Condo","3.18",NA
"2167","LE CRESCENDO","Condo","2.39",NA
"2168","LEONIE SUITES","NA","4.59",NA
"2169","LIBERTE","NA","4.45",NA
"2170","LLOYD MANSION","NA","2.87",NA
"2171","LOTUS @ PAYA LEBAR (EAST WING)","NA","2.85",NA
"2172","MARINA BAY RESIDENCES","NA","5.69",NA
"2173","MARINA BAY SUITES","Condo","4.16",NA
"2174","MARINA BAY SUITES","Condo","4.36",NA
"2175","MARINA ONE","Condo","5.19",NA
"2176","MARINA ONE","Condo","5.93",NA
"2177","MARINA ONE","Condo","4.47",NA
"2178","MERAWOODS","Condo","1.9",NA
"2179","MERAWOODS","Condo","2.06",NA
"2180","MONTEREY PARK","Condo","2.83",NA
"2181","MULBERRY TREE","NA","3.94",NA
"2182","NASSIM PARK RESIDENCES","Condo","6.84",NA
"2183","NIN RESIDENCE","Condo","3.53",NA
"2184","NOUVEL 18","Condo","5.33",NA
"2185","ONE FORT","Condo",NA,NA
"2186","ONE SHENTON","Condo","4.69",NA
"2187","ONE SHENTON","Condo","4.98",NA
"2188","ORCHARD SCOTTS","Condo","4.38",NA
"2189","ORCHARD SCOTTS","Condo","5.99",NA
"2190","PALM SPRING","Condo","3.01",NA
"2191","MULBERRY TREE","NA","3.94",NA
"2192","NASSIM PARK RESIDENCES","Condo","6.84",NA
"2193","NIN RESIDENCE","Condo","3.53",NA
"2194","NOUVEL 18","Condo","5.33",NA
"2195","ONE FORT","Condo",NA,NA
"2196","ONE SHENTON","Condo","4.69",NA
"2197","ONE SHENTON","Condo","4.98",NA
"2198","ORCHARD SCOTTS","Condo","4.38",NA
"2199","ORCHARD SCOTTS","Condo","5.99",NA
"2200","PALM SPRING","Condo","3.01",NA
"2201","PARC OASIS","Condo","2.69",NA
"2202","PARC SOPHIA","NA","5.27",NA
"2203","PARC VISTA","Condo","2.46",NA
"2204","PARVIS","Condo","4.41",NA
"2205","PARVIS","Condo","4.66",NA
"2206","PATERSON RESIDENCE","Condo","4.87",NA
"2207","PEPYS HILL CONDO","Condo",NA,NA
"2208","PEPYS HILL CONDO","Condo","2.23",NA
"2209","PINNACLE 16","NA","3.78",NA
"2210","Q BAY RESIDENCES","Condo","3.13",NA
"2211","QUEENS","Condo","4.05",NA
"2212","REFLECTIONS AT KEPPEL BAY","Condo","5.29",NA
"2213","REGENT RESIDENCES","NA","3.63",NA
"2214","RICHMOND PARK","Condo",NA,NA
"2215","RICHMOND PARK","Condo","3.8",NA
"2216","RIVER PLACE","Condo","2.93",NA
"2217","RIVER PLACE","Condo","4.03",NA
"2218","RIVER PLACE","Condo","4.14",NA
"2219","ROSEWOOD","Condo","2.37",NA
"2220","RV RESIDENCES","Condo","6.19",NA
"2221","QUEENS","Condo","4.05",NA
"2222","REFLECTIONS AT KEPPEL BAY","Condo","5.29",NA
"2223","REGENT RESIDENCES","NA","3.63",NA
"2224","RICHMOND PARK","Condo",NA,NA
"2225","RICHMOND PARK","Condo","3.8",NA
"2226","RIVER PLACE","Condo","2.93",NA
"2227","RIVER PLACE","Condo","4.03",NA
"2228","RIVER PLACE","Condo","4.14",NA
"2229","ROSEWOOD","Condo","2.37",NA
"2230","RV RESIDENCES","Condo","6.19",NA
"2231","RV RESIDENCES","Condo","4.5",NA
"2232","SANCTUARY GREEN","Condo","2.97",NA
"2233","SANCTUARY GREEN","Condo","3.65",NA
"2234","SARKIES GREEN","NA","5.18",NA
"2235","SEAHILL","NA","3.54",NA
"2236","SILVERSEA","Condo","3.26",NA
"2237","SIMS URBAN OASIS","Condo","4.11",NA
"2238","SKIES MILTONIA","Condo","2.32",NA
"2239","SKY VUE","Condo","4.14",NA
"2240","SKYSUITES @ ANSON","NA","6",NA
"2241","SPANISH VILLAGE","Condo","2.25",NA
"2242","SPOTTISWOODE 18","NA","6.43",NA
"2243","SPRINGVALE","NA","9.19",NA
"2244","SUITES @ AMBER","NA","3.17",NA
"2245","SYMPHONY SUITES","Condo","3.69",NA
"2246","SYMPHONY SUITES","Condo","3.56",NA
"2247","SYMPHONY SUITES","Condo","2.95",NA
"2248","TANAMERA CREST","Condo","2.49",NA
"2249","TANAMERA CREST","Condo","2.3",NA
"2250","THE BALMORAL SPRING","NA",NA,NA
"2251","SPANISH VILLAGE","Condo","2.25",NA
"2252","SPOTTISWOODE 18","NA","6.43",NA
"2253","SPRINGVALE","NA","9.19",NA
"2254","SUITES @ AMBER","NA","3.17",NA
"2255","SYMPHONY SUITES","Condo","3.69",NA
"2256","SYMPHONY SUITES","Condo","3.56",NA
"2257","SYMPHONY SUITES","Condo","2.95",NA
"2258","TANAMERA CREST","Condo","2.49",NA
"2259","TANAMERA CREST","Condo","2.3",NA
"2260","THE BALMORAL SPRING","NA",NA,NA
"2261","THE BAYSHORE","Condo","3.05",NA
"2262","THE BENCOOLEN","NA","6",NA
"2263","THE BENCOOLEN","NA","5.31",NA
"2264","THE BLOSSOMVALE","Condo","3.21",NA
"2265","THE CASCADIA","Condo","2.87",NA
"2266","THE CENTRIS","NA","3.33",NA
"2267","THE CLIFT","NA","6.83",NA
"2268","THE CLIFT","NA","6.52",NA
"2269","THE CLIFT","NA","5.13",NA
"2270","THE CLIFT","NA","6.26",NA
"2271","THE COAST AT SENTOSA COVE","Condo","3.95",NA
"2272","THE COSMOPOLITAN","Condo","4.47",NA
"2273","THE ESTUARY","Condo","2.7",NA
"2274","THE FORD @ HOLLAND","Condo","2.52",NA
"2275","THE INSPIRA","Condo","4.27",NA
"2276","THE INTERLACE","Condo","2.87",NA
"2277","THE LAKEFRONT RESIDENCES","Condo","4.02",NA
"2278","THE MARBELLA","Condo","3.57",NA
"2279","THE MARBELLA","Condo","3.73",NA
"2280","THE METROPOLITAN","Condo","5.46",NA
"2281","THE COAST AT SENTOSA COVE","Condo","3.95",NA
"2282","THE COSMOPOLITAN","Condo","4.47",NA
"2283","THE ESTUARY","Condo","2.7",NA
"2284","THE FORD @ HOLLAND","Condo","2.52",NA
"2285","THE INSPIRA","Condo","4.27",NA
"2286","THE INTERLACE","Condo","2.87",NA
"2287","THE LAKEFRONT RESIDENCES","Condo","4.02",NA
"2288","THE MARBELLA","Condo","3.57",NA
"2289","THE MARBELLA","Condo","3.73",NA
"2290","THE METROPOLITAN","Condo","5.46",NA
"2291","THE METROPOLITAN","Condo","5.41",NA
"2292","THE METZ","Condo","5.85",NA
"2293","THE OLIV","NA",NA,NA
"2294","THE ORIENT","NA","4.04",NA
"2295","THE PARC CONDOMINIUM","Condo","3.16",NA
"2296","THE PEAK @ CAIRNHILL I","NA","5.69",NA
"2297","THE PEAK @ CAIRNHILL II","NA","4.42",NA
"2298","THE PEAK @ CAIRNHILL II","NA","4.42",NA
"2299","THE PIER @ ROBERTSON","NA","5.02",NA
"2300","THE PIER @ ROBERTSON","NA","5.01",NA
"2301","THE PINNACLE @ DUXTON","NA","3.45",NA
"2302","THE POIZ RESIDENCES","Condo","4.65",NA
"2303","THE POIZ RESIDENCES","Condo","3.88",NA
"2304","THE POIZ RESIDENCES","Condo","4.83",NA
"2305","THE POIZ RESIDENCES","Condo","3.74",NA
"2306","THE POIZ RESIDENCES","Condo","3.8",NA
"2307","THE POIZ RESIDENCES","Condo","4.27",NA
"2308","THE POIZ RESIDENCES","Condo","3.72",NA
"2309","THE POIZ RESIDENCES","Condo","4.27",NA
"2310","THE POIZ RESIDENCES","Condo","4.65",NA
"2311","THE PINNACLE @ DUXTON","NA","3.45",NA
"2312","THE POIZ RESIDENCES","Condo","4.65",NA
"2313","THE POIZ RESIDENCES","Condo","3.88",NA
"2314","THE POIZ RESIDENCES","Condo","4.83",NA
"2315","THE POIZ RESIDENCES","Condo","3.74",NA
"2316","THE POIZ RESIDENCES","Condo","3.8",NA
"2317","THE POIZ RESIDENCES","Condo","4.27",NA
"2318","THE POIZ RESIDENCES","Condo","3.72",NA
"2319","THE POIZ RESIDENCES","Condo","4.27",NA
"2320","THE POIZ RESIDENCES","Condo","4.65",NA
"2321","THE POIZ RESIDENCES","Condo","3.85",NA
"2322","THE POIZ RESIDENCES","Condo","4.49",NA
"2323","THE POIZ RESIDENCES","Condo","4.83",NA
"2324","THE POIZ RESIDENCES","Condo","4.52",NA
"2325","THE POIZ RESIDENCES","Condo","5.17",NA
"2326","THE POIZ RESIDENCES","Condo","4.22",NA
"2327","THE POIZ RESIDENCES","Condo","4.76",NA
"2328","THE POIZ RESIDENCES","Condo","3.49",NA
"2329","THE POIZ RESIDENCES","Condo","4.11",NA
"2330","THE POIZ RESIDENCES","Condo","3.98",NA
"2331","THE POIZ RESIDENCES","Condo","4.52",NA
"2332","THE POIZ RESIDENCES","Condo","3.86",NA
"2333","THE POIZ RESIDENCES","Condo","4.26",NA
"2334","THE POIZ RESIDENCES","Condo","3.65",NA
"2335","THE POIZ RESIDENCES","Condo","4.52",NA
"2336","THE REGALIA","NA","3.29",NA
"2337","THE RIVERINE BY THE PARK","NA","3.98",NA
"2338","THE SAIL @ MARINA BAY","NA","4.57",NA
"2339","THE SAIL @ MARINA BAY","NA","5.81",NA
"2340","THE SAIL @ MARINA BAY","NA","3.52",NA
"2341","THE POIZ RESIDENCES","Condo","4.52",NA
"2342","THE POIZ RESIDENCES","Condo","3.86",NA
"2343","THE POIZ RESIDENCES","Condo","4.26",NA
"2344","THE POIZ RESIDENCES","Condo","3.65",NA
"2345","THE POIZ RESIDENCES","Condo","4.52",NA
"2346","THE REGALIA","NA","3.29",NA
"2347","THE RIVERINE BY THE PARK","NA","3.98",NA
"2348","THE SAIL @ MARINA BAY","NA","4.57",NA
"2349","THE SAIL @ MARINA BAY","NA","5.81",NA
"2350","THE SAIL @ MARINA BAY","NA","3.52",NA
"2351","THE SAIL @ MARINA BAY","NA","6.51",NA
"2352","THE TENNERY","Condo","3.02",NA
"2353","THE TENNERY","Condo","3.48",NA
"2354","THE TRIZON","Condo","3.89",NA
"2355","THE TRIZON","Condo","3.94",NA
"2356","THE TRIZON","Condo","3.35",NA
"2357","THE TRIZON","Condo","3.94",NA
"2358","THE TRUMPS","Condo","2.87",NA
"2359","THE WATERSIDE","Condo","2.34",NA
"2360","THREE BALMORAL","Condo","5.55",NA
"2361","TIARA","Condo","3.35",NA
"2362","TRE RESIDENCES","Condo","4.07",NA
"2363","TREVISTA","Condo","3.6",NA
"2364","TRIBECA BY THE WATERFRONT","Condo","5.79",NA
"2365","UE SQUARE","NA","3.48",NA
"2366","URBANA","Condo","4.14",NA
"2367","URBANEDGE @ HOLLAND V","NA","3.21",NA
"2368","VALLEY PARK","Condo","3.5",NA
"2369","VARSITY PARK","Condo","3.64",NA
"2370","VERDURE","Condo","3.59",NA
"2371","TIARA","Condo","3.35",NA
"2372","TRE RESIDENCES","Condo","4.07",NA
"2373","TREVISTA","Condo","3.6",NA
"2374","TRIBECA BY THE WATERFRONT","Condo","5.79",NA
"2375","UE SQUARE","NA","3.48",NA
"2376","URBANA","Condo","4.14",NA
"2377","URBANEDGE @ HOLLAND V","NA","3.21",NA
"2378","VALLEY PARK","Condo","3.5",NA
"2379","VARSITY PARK","Condo","3.64",NA
"2380","VERDURE","Condo","3.59",NA
"2381","VIDA","NA","4.41",NA
"2382","VILLA MARINA","Condo","2.97",NA
"2383","VILLA MARINA","Condo","2.37",NA
"2384","VISIONCREST RESIDENCE","NA","4.82",NA
"2385","VISIONCREST RESIDENCE","NA","4.86",NA
"2386","VIZ @ HOLLAND","Condo","3.34",NA
"2387","WATERBANK AT DAKOTA","Condo","4.81",NA
"2388","WATERBANK AT DAKOTA","Condo","4.25",NA
"2389","WATERFRONT GOLD","Condo","3.41",NA
"2390","WATERMARK @ ROBERTSON QUAY","Condo","4.81",NA
"2391","WATERSCAPE AT CAVENAGH","NA","4.05",NA
"2392","BOON COURT","NA","1.93",NA
"2393","CITYLIGHTS","Condo","5.18",NA
"2394","D'LEEDON","Condo","4.48",NA
"2395","JURONG WEST STREET 64","NA","2.45",NA
"2396","MONTREAL DRIVE","NA","2.06",NA
"2397","PARC EMILY","Condo","5.04",NA
"2398","SOMMERVILLE PARK","Condo","3.45",NA
"2399","TEMBELING RESIDENCE","NA","2.82",NA
"2400","BUKIT BATOK WEST AVENUE 5","NA","1.81",NA
"2401","WATERSCAPE AT CAVENAGH","NA","4.05",NA
"2402","BOON COURT","NA","1.93",NA
"2403","CITYLIGHTS","Condo","5.18",NA
"2404","D'LEEDON","Condo","4.48",NA
"2405","JURONG WEST STREET 64","NA","2.45",NA
"2406","MONTREAL DRIVE","NA","2.06",NA
"2407","PARC EMILY","Condo","5.04",NA
"2408","SOMMERVILLE PARK","Condo","3.45",NA
"2409","TEMBELING RESIDENCE","NA","2.82",NA
"2410","BUKIT BATOK WEST AVENUE 5","NA","1.81",NA
"2411","ANGSANA PARK","NA","2.07",NA
"2412","BRADDELL HEIGHTS ESTATE","NA","1.66",NA
"2413","LORONG G TELOK KURAU","NA",NA,NA
"2414","LORONG G TELOK KURAU","NA",NA,NA
"2415","WIMBORNE VILLA","NA","2.09",NA
"2416","ALEXANDRA CENTRAL","NA","10.31",NA
"2417","ALEXANDRA CENTRAL","NA","13.33",NA
"2418","AMOY STREET","NA","11.67",NA
"2419","ANG MO KIO INDUSTRIAL PARK 2","NA","2.2",NA
"2420","ARC 380","NA","6.5",NA
"2421","ARC 380","NA","6.5",NA
"2422","ARC 380","NA","6.5",NA
"2423","BOAT QUAY","NA","9.48",NA
"2424","BOAT QUAY","NA","5",NA
"2425","BOON LAY SHOPPING CENTRE","NA",NA,NA
"2426","BUGIS VILLAGE","NA","4.01",NA
"2427","BUKIT TIMAH SHOPPING CENTRE","NA","6.57",NA
"2428","CECIL COURT","NA","5.46",NA
"2429","CECIL COURT","NA","5.42",NA
"2430","CECIL COURT","NA","5.4",NA
"2431","ARC 380","NA","6.5",NA
"2432","ARC 380","NA","6.5",NA
"2433","BOAT QUAY","NA","9.48",NA
"2434","BOAT QUAY","NA","5",NA
"2435","BOON LAY SHOPPING CENTRE","NA",NA,NA
"2436","BUGIS VILLAGE","NA","4.01",NA
"2437","BUKIT TIMAH SHOPPING CENTRE","NA","6.57",NA
"2438","CECIL COURT","NA","5.46",NA
"2439","CECIL COURT","NA","5.42",NA
"2440","CECIL COURT","NA","5.4",NA
"2441","CECIL COURT","NA","5.56",NA
"2442","CECIL STREET","NA","5.91",NA
"2443","CECIL STREET","NA","5.89",NA
"2444","CENTRAL MALL","NA","6.79",NA
"2445","CHANGI ROAD","NA",NA,NA
"2446","CHINATOWN","NA","3.17",NA
"2447","CHYE SING BUILDING","NA","4.84",NA
"2448","CHYE SING BUILDING","NA","4.5",NA
"2449","CIRCULAR ROAD","NA","12.73",NA
"2450","CLEMENTI","NA","8.33",NA
"2451","CLEMENTI AVENUE 3","NA","4.01",NA
"2452","CLIFFORD CENTRE","NA","7.86",NA
"2453","CLIFFORD CENTRE","NA","7.88",NA
"2454","CLIFFORD CENTRE","NA","7.95",NA
"2455","CLIFFORD CENTRE","NA","7.95",NA
"2456","CLIFFORD CENTRE","NA","7.49",NA
"2457","CLIFFORD CENTRE","NA","7.53",NA
"2458","CLIFFORD CENTRE","NA","7.53",NA
"2459","CLIFFORD CENTRE","NA","7.01",NA
"2460","CLUB STREET","NA","4.9",NA
"2461","CLEMENTI AVENUE 3","NA","4.01",NA
"2462","CLIFFORD CENTRE","NA","7.86",NA
"2463","CLIFFORD CENTRE","NA","7.88",NA
"2464","CLIFFORD CENTRE","NA","7.95",NA
"2465","CLIFFORD CENTRE","NA","7.95",NA
"2466","CLIFFORD CENTRE","NA","7.49",NA
"2467","CLIFFORD CENTRE","NA","7.53",NA
"2468","CLIFFORD CENTRE","NA","7.53",NA
"2469","CLIFFORD CENTRE","NA","7.01",NA
"2470","CLUB STREET","NA","4.9",NA
"2471","CRYSTAL TIME BUILDING","NA","2.52",NA
"2472","ELITE INDUSTRIAL BUILDING I","NA","1.6",NA
"2473","EON SHENTON","NA","4.84",NA
"2474","EON SHENTON","NA","5.88",NA
"2475","EON SHENTON","NA","5.23",NA
"2476","EON SHENTON","NA","6.35",NA
"2477","EON SHENTON","NA","6.32",NA
"2478","EON SHENTON","NA","6.29",NA
"2479","EUNOS TECHPARK","NA","2.1",NA
"2480","FAR EAST SQUARE","NA","7.5",NA
"2481","FAR EAST SQUARE","NA","7.43",NA
"2482","FAR EAST SQUARE","NA","6.21",NA
"2483","FINLAYSON GREEN","NA","8.11",NA
"2484","FOOD XCHANGE @ ADMIRALTY","NA","2.11",NA
"2485","FOOD XCHANGE @ ADMIRALTY","NA","1.93",NA
"2486","FOOD XCHANGE @ ADMIRALTY","NA","2.11",NA
"2487","GATEWAY EAST","NA","7.31",NA
"2488","GEYLANG ROAD","NA","3.45",NA
"2489","HENDERSON","NA","2.58",NA
"2490","HENDERSON INDUSTRIAL PARK","NA","1.5",NA
"2491","FAR EAST SQUARE","NA","7.43",NA
"2492","FAR EAST SQUARE","NA","6.21",NA
"2493","FINLAYSON GREEN","NA","8.11",NA
"2494","FOOD XCHANGE @ ADMIRALTY","NA","2.11",NA
"2495","FOOD XCHANGE @ ADMIRALTY","NA","1.93",NA
"2496","FOOD XCHANGE @ ADMIRALTY","NA","2.11",NA
"2497","GATEWAY EAST","NA","7.31",NA
"2498","GEYLANG ROAD","NA","3.45",NA
"2499","HENDERSON","NA","2.58",NA
"2500","HENDERSON INDUSTRIAL PARK","NA","1.5",NA
"2501","HOUGANG STREET 21","NA","4",NA
"2502","INTERLOCAL CENTRE","NA","2.8",NA
"2503","INTERNATIONAL ROAD","NA","1.27",NA
"2504","ISPACE","NA","3.68",NA
"2505","JALAN BESAR","NA","4.42",NA
"2506","JIT POH BUILDING","NA","5.5",NA
"2507","JIT POH BUILDING","NA","5.5",NA
"2508","JIT POH BUILDING","NA","5.5",NA
"2509","JIT POH BUILDING","NA","5.5",NA
"2510","JURONG FOOD HUB","NA","2.7",NA
"2511","KA FOODLINK","NA","3.5",NA
"2512","KA FOODLINK","NA","3.18",NA
"2513","KECK SENG TOWER","NA","5.9",NA
"2514","KECK SENG TOWER","NA","5.71",NA
"2515","KECK SENG TOWER","NA","6.03",NA
"2516","KECK SENG TOWER","NA","5.7",NA
"2517","KRANJI LINK","NA","1.64",NA
"2518","LIAN HUAT BUILDING","NA","4.5",NA
"2519","LIAN HUAT BUILDING","NA","4.57",NA
"2520","LITTLE ROAD","NA","2.08",NA
"2521","KA FOODLINK","NA","3.5",NA
"2522","KA FOODLINK","NA","3.18",NA
"2523","KECK SENG TOWER","NA","5.9",NA
"2524","KECK SENG TOWER","NA","5.71",NA
"2525","KECK SENG TOWER","NA","6.03",NA
"2526","KECK SENG TOWER","NA","5.7",NA
"2527","KRANJI LINK","NA","1.64",NA
"2528","LIAN HUAT BUILDING","NA","4.5",NA
"2529","LIAN HUAT BUILDING","NA","4.57",NA
"2530","LITTLE ROAD","NA","2.08",NA
"2531","LUCKY PLAZA","NA","23",NA
"2532","LUCKY PLAZA","NA","23",NA
"2533","MANDAI FOODLINK","NA","2",NA
"2534","MANDAI FOODLINK","NA","1.84",NA
"2535","MEGA @ WOODLANDS","NA","1.74",NA
"2536","NEWEST","NA","9",NA
"2537","NEYTHAL ROAD","NA","0.88",NA
"2538","NORTHSTAR @ AMK","NA","1.84",NA
"2539","NORTHSTAR @ AMK","NA","1.85",NA
"2540","NORTHSTAR @ AMK","NA","1.67",NA
"2541","OCBC CENTRE","NA","9.88",NA
"2542","OCBC CENTRE","NA","9.26",NA
"2543","OCBC CENTRE","NA","8.98",NA
"2544","OCBC CENTRE","NA","9.15",NA
"2545","OCBC CENTRE","NA","9.53",NA
"2546","ORCHARD TOWERS","NA","4.59",NA
"2547","ORCHARD TOWERS","NA","4.67",NA
"2548","ORCHARD TOWERS","NA","4.5",NA
"2549","OXLEY TOWER","NA","4.62",NA
"2550","PAVILION SQUARE","NA","23.26",NA
"2551","OCBC CENTRE","NA","9.88",NA
"2552","OCBC CENTRE","NA","9.26",NA
"2553","OCBC CENTRE","NA","8.98",NA
"2554","OCBC CENTRE","NA","9.15",NA
"2555","OCBC CENTRE","NA","9.53",NA
"2556","ORCHARD TOWERS","NA","4.59",NA
"2557","ORCHARD TOWERS","NA","4.67",NA
"2558","ORCHARD TOWERS","NA","4.5",NA
"2559","OXLEY TOWER","NA","4.62",NA
"2560","PAVILION SQUARE","NA","23.26",NA
"2561","PAYA LEBAR","NA",NA,NA
"2562","PENINSULA PLAZA","NA","5.05",NA
"2563","PIONEER","NA","1.1",NA
"2564","PIONEER","NA","1.1",NA
"2565","RAEBURN PARK","NA","3.5",NA
"2566","RAEBURN PARK","NA","3.5",NA
"2567","RAFFLES PLACE","NA","8",NA
"2568","RAFFLES PLACE","NA","8",NA
"2569","RAFFLES PLACE","NA","5.63",NA
"2570","RAFFLES PLACE","NA","11",NA
"2571","REALTY CENTRE","NA","3.16",NA
"2572","REPUBLIC PLAZA","NA","10.63",NA
"2573","RIVERSIDE POINT","NA","9.01",NA
"2574","ROBINSON CENTRE","NA","8.48",NA
"2575","ROBINSON CENTRE","NA","8.51",NA
"2576","ROBINSON CENTRE","NA","8.56",NA
"2577","ROBINSON CENTRE","NA","8.75",NA
"2578","ROYAL SQUARE @ NOVENA","NA","6.53",NA
"2579","RUBY INDUSTRIAL COMPLEX","NA","1.69",NA
"2580","SBF CENTER","NA","11",NA
"2581","REALTY CENTRE","NA","3.16",NA
"2582","REPUBLIC PLAZA","NA","10.63",NA
"2583","RIVERSIDE POINT","NA","9.01",NA
"2584","ROBINSON CENTRE","NA","8.48",NA
"2585","ROBINSON CENTRE","NA","8.51",NA
"2586","ROBINSON CENTRE","NA","8.56",NA
"2587","ROBINSON CENTRE","NA","8.75",NA
"2588","ROYAL SQUARE @ NOVENA","NA","6.53",NA
"2589","RUBY INDUSTRIAL COMPLEX","NA","1.69",NA
"2590","SBF CENTER","NA","11",NA
"2591","SCOTTS SQUARE","NA","7.37",NA
"2592","SCOTTS SQUARE","NA","7.87",NA
"2593","SCOTTS SQUARE","NA","7.21",NA
"2594","SCOTTS SQUARE","NA","8.49",NA
"2595","SHAW TOWER","NA","4.95",NA
"2596","SHENTON HOUSE","NA","4.28",NA
"2597","SHENTON HOUSE","NA","4.47",NA
"2598","SHENTON HOUSE","NA","3.94",NA
"2599","SHENTON HOUSE","NA","5.88",NA
"2600","SHENTON HOUSE","NA","4.97",NA
"2601","SHUN LI INDUSTRIAL PARK","NA","1.5",NA
"2602","SIF BUILDING","NA","7.3",NA
"2603","SIF BUILDING","NA","7.39",NA
"2604","SKYLINE BUILDING","NA","3.85",NA
"2605","SOUTH BRIDGE ROAD","NA",NA,NA
"2606","SOUTH BRIDGE ROAD","NA","5",NA
"2607","SPRINGLEAF TOWER","NA","8",NA
"2608","SUNGEI KADUT INDUSTRIAL ESTATE","NA","1.4",NA
"2609","SUNGEI KADUT INDUSTRIAL ESTATE","NA","1.4",NA
"2610","SUNGEI KADUT LOOP","NA","1.6",NA
"2611","SHUN LI INDUSTRIAL PARK","NA","1.5",NA
"2612","SIF BUILDING","NA","7.3",NA
"2613","SIF BUILDING","NA","7.39",NA
"2614","SKYLINE BUILDING","NA","3.85",NA
"2615","SOUTH BRIDGE ROAD","NA",NA,NA
"2616","SOUTH BRIDGE ROAD","NA","5",NA
"2617","SPRINGLEAF TOWER","NA","8",NA
"2618","SUNGEI KADUT INDUSTRIAL ESTATE","NA","1.4",NA
"2619","SUNGEI KADUT INDUSTRIAL ESTATE","NA","1.4",NA
"2620","SUNGEI KADUT LOOP","NA","1.6",NA
"2621","T-SPACE","NA","1.52",NA
"2622","T-SPACE","NA","1.23",NA
"2623","T-SPACE","NA","1.79",NA
"2624","T-SPACE","NA","1.47",NA
"2625","TAI SENG","NA","2.64",NA
"2626","TAMPINES","NA","1.63",NA
"2627","TAMPINES STREET 44","NA","4",NA
"2628","TANGLIN SHOPPING CENTRE","NA","5.6",NA
"2629","TELOK AYER STREET","NA",NA,NA
"2630","TELOK AYER STREET","NA",NA,NA
"2631","TELOK AYER STREET","NA","3.93",NA
"2632","TEMPLE STREET","NA","2.95",NA
"2633","THE ADELPHI","NA",NA,NA
"2634","THE ADELPHI","NA",NA,NA
"2635","THE ALEXCIER","NA","3.35",NA
"2636","THE ARCADE","NA","7.12",NA
"2637","THE ARCADE","NA","9",NA
"2638","THE ARCADE","NA","5.91",NA
"2639","THE ARCADE","NA","6.69",NA
"2640","THE ARCADE","NA","8.89",NA
"2641","TELOK AYER STREET","NA","3.93",NA
"2642","TEMPLE STREET","NA","2.95",NA
"2643","THE ADELPHI","NA",NA,NA
"2644","THE ADELPHI","NA",NA,NA
"2645","THE ALEXCIER","NA","3.35",NA
"2646","THE ARCADE","NA","7.12",NA
"2647","THE ARCADE","NA","9",NA
"2648","THE ARCADE","NA","5.91",NA
"2649","THE ARCADE","NA","6.69",NA
"2650","THE ARCADE","NA","8.89",NA
"2651","THE CENTRAL","NA","6.37",NA
"2652","THE CENTRAL","NA","9.75",NA
"2653","THE CONCOURSE","NA","7.8",NA
"2654","THE FLOW @ EAST COAST","NA",NA,NA
"2655","THE FLOW @ EAST COAST","NA","9",NA
"2656","THE FLOW @ EAST COAST","NA","10",NA
"2657","THE FLOW @ EAST COAST","NA","9",NA
"2658","THE FLOW @ EAST COAST","NA","10",NA
"2659","THE FLOW @ EAST COAST","NA","5.5",NA
"2660","THE FLOW @ EAST COAST","NA","8.99",NA
"2661","THE HOUSE OF EDEN","NA","7.77",NA
"2662","THE INDEX","NA","1.11",NA
"2663","THE INDEX","NA","0.82",NA
"2664","THE MIDTOWN","NA","4.45",NA
"2665","THE PLAZA","NA","5.13",NA
"2666","THE ROBINSON SQUARE","NA","6.39",NA
"2667","TOA PAYOH CENTRAL","NA",NA,NA
"2668","TONG BUILDING","NA",NA,NA
"2669","TONG BUILDING","NA","9",NA
"2670","TONG ENG BUILDING","NA","5.46",NA
"2671","THE HOUSE OF EDEN","NA","7.77",NA
"2672","THE INDEX","NA","1.11",NA
"2673","THE INDEX","NA","0.82",NA
"2674","THE MIDTOWN","NA","4.45",NA
"2675","THE PLAZA","NA","5.13",NA
"2676","THE ROBINSON SQUARE","NA","6.39",NA
"2677","TOA PAYOH CENTRAL","NA",NA,NA
"2678","TONG BUILDING","NA",NA,NA
"2679","TONG BUILDING","NA","9",NA
"2680","TONG ENG BUILDING","NA","5.46",NA
"2681","TONG ENG BUILDING","NA","5.46",NA
"2682","TONG ENG BUILDING","NA","5.83",NA
"2683","TONG ENG BUILDING","NA","5.45",NA
"2684","TONG ENG BUILDING","NA","5.46",NA
"2685","TUAS SOUTH","NA","1",NA
"2686","TUNG ANN ASSN BUILDING","NA","4.5",NA
"2687","TWENTY ANSON","NA","8.49",NA
"2688","TWENTY ANSON","NA","8.67",NA
"2689","UB ONE","NA","2.46",NA
"2690","UOB PLAZA","NA","10.81",NA
