"","name","type","rent","date"
"123","SULTAN PLAZA","NA","5.91","18"
"124","MARTINPLACE RESIDENCES","Condo","5.57","18"
"125","TEMPCO TECHNOMINIUM","NA","3.2","18"
"126","STARLIGHT SUITES","Condo","4.94","18"
"127","SUITES @ TOPAZ","Condo","2.43","18"
"128","THE LAURELS","Condo","6.38","18"
"129","ORCHARD COURT","NA","2.41","18"
"130","WINDY HEIGHT","Condo","2.45","18"
"131","AMARYLLIS VILLE","Condo","4.49","18"
"132","GLOUCESTER MANSIONS","Condo","3.87","18"
"133","CAIRNHILL RESIDENCES","Condo","4.73","18"
"134","THE INTERLACE","Condo","3.62","18"
"135","MARINA ONE RESIDENCES","Condo","5.52","18"
"136","NORTH BRIDGE CENTRE","NA","4.9","18"
"137","THE METZ","Condo","6.2","18"
"138","NORTH BRIDGE CENTRE","NA","5.19","18"
"139","SOLEIL @ SINARAN","Condo","5.16","18"
"140","THE CLIFT","Condo","5.6","18"
"141","SMARTSUITES@SIMS","Condo","4.42","18"
"142","THE BAYSHORE","Condo","3.13","18"
"143","389 BUKIT BATOK WEST AVE 5","NA","1.94","18"
"144","LUMA","Condo","4.76","18"
"145","SILVERSEA","Condo","3.8","18"
"146","CAIRNHILL NINE","Condo","6.16","18"
"147","76 SHENTON ","NA","6.23","18"
"148","CHILTERN PARK ","Condo","2.35","18"
"149","THE CALROSE","Condo","2.58","18"
"150","COMMON BEDROOM ","NA","3.63","18"
"151","SMARTSUITES@SIMS","Condo","4.42","18"
"152","THE BAYSHORE","Condo","3.13","18"
"153","389 BUKIT BATOK WEST AVE 5","NA","1.94","18"
"154","LUMA","Condo","4.76","18"
"155","SILVERSEA","Condo","3.8","18"
"156","CAIRNHILL NINE","Condo","6.16","18"
"157","76 SHENTON ","NA","6.23","18"
"158","CHILTERN PARK ","Condo","2.35","18"
"159","THE CALROSE","Condo","2.58","18"
"160","COMMON BEDROOM ","NA","3.63","18"
"161","NINETEEN SHERLFORD ","NA","7.5","18"
"162","EAST COAST DRIVE","NA","2","18"
